LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,volunteering_weight,weight_source,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
35,1.0,5.0,,0.0,,wt_final_AC,3,5,45-54,,,0,inactive
35,1.0,3.0,0.0,1.0,6.404026208128497,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,1,fairly_active
35,1.0,3.0,0.0,2.0,1.023752217254232,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
44,1.0,3.0,,1.0,,wt_final_AC,3,3,25-34,,,1,fairly_active
68,1.0,6.0,,2.0,,wt_final_AC,3,6,55-64,,,2,active
68,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
68,1.0,5.0,,2.0,,wt_final_AC,3,5,45-54,,,2,active
68,1.0,6.0,,0.0,,wt_final_AC,3,6,55-64,,,0,inactive
68,1.0,7.0,0.0,2.0,7.319015790170672,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
68,1.0,4.0,,0.0,,wt_final_AC,3,4,35-44,,,0,inactive
78,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
78,1.0,5.0,1.0,1.0,1.3333946837938582,wt_final_AC,3,5,45-54,1,twiceplus_volunteer,1,fairly_active
78,1.0,5.0,1.0,2.0,0.7067028619098198,wt_final_AC,3,5,45-54,1,twiceplus_volunteer,2,active
78,1.0,6.0,1.0,1.0,1.0036785775747332,wt_final_AC,3,6,55-64,1,twiceplus_volunteer,1,fairly_active
91,1.0,4.0,,0.0,,wt_final_AC,3,4,35-44,,,0,inactive
91,1.0,3.0,0.0,0.0,1.5871585059374855,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
91,1.0,4.0,0.0,0.0,1.5903150257995025,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
91,1.0,7.0,0.0,2.0,1.346797607457673,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
91,1.0,6.0,0.0,2.0,3.528752998705361,wt_final_AC,3,6,55-64,0,not_twiceplus_volunteer,2,active
91,1.0,6.0,0.0,2.0,2.955055749922896,wt_final_AC,3,6,55-64,0,not_twiceplus_volunteer,2,active
91,1.0,2.0,,1.0,2.8123032757471234,wt_final_AC,3,2,16-24,,,1,fairly_active
91,1.0,6.0,,2.0,,wt_final_AC,3,6,55-64,,,2,active
91,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
91,1.0,2.0,0.0,0.0,4.7346151906850364,wt_final_AC,3,2,16-24,0,not_twiceplus_volunteer,0,inactive
91,1.0,2.0,,1.0,,wt_final_AC,3,2,16-24,,,1,fairly_active
107,1.0,,0.0,2.0,0.927744227789151,wt_final_AC,3,,,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,0.0,2.0,0.6165338008227881,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
107,1.0,5.0,1.0,2.0,0.4857006616521225,wt_final_AC,3,5,45-54,1,twiceplus_volunteer,2,active
107,1.0,3.0,0.0,2.0,1.4809620178098797,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
