panel_level,total_panel_rows,observed_cells,observed_cell_rate,median_raw_n,median_effective_n,small_cell_rate,few_frequent_cases_rate,zero_frequent_cases_rate,effective_n_below_5_rate,effective_n_below_10_rate
borough_age_activity,4608,4290,93.09895833333334,9.0,6.371735462878599,81.46853146853147,87.01631701631702,46.82983682983683,39.836829836829835,66.57342657342657
borough_age,1536,1523,99.15364583333334,45.0,27.614168531548707,33.420879842416284,52.13394615889692,15.036112934996718,11.424819435325016,18.384766907419568
borough_activity,576,576,100.0,76.0,45.759475609541965,3.298611111111111,45.65972222222222,2.951388888888889,0.0,0.0
