predictor_group,mean_increase,sd_increase,randomisation_q025,randomisation_q975,positive_share,increase_relative_to_baseline
COVID calendar flags,0.0,0.0,0.0,0.0,0.0,0.0
Calendar and trend,0.0,0.0,0.0,0.0,0.0,0.0
Lagged survey composition,0.0,0.0,0.0,0.0,0.0,0.0
Lagged recent participation (2+),6.227491487047395e-05,2.9483751834266002e-05,1.6103811622324857e-05,0.00012022048418967278,0.9666666666666667,0.000604011636298785
Borough identity,0.00016939772893218667,6.931961592494691e-05,3.0712350215643744e-05,0.0002723297230133592,0.9666666666666667,0.001643008258629345
Lagged 12-month participation,0.00020444220081769217,4.386353489218602e-05,0.0001219303258221189,0.0002721061702630374,1.0,0.001982908663966179
Lagged activity-state outcomes,0.0003571796959535569,9.265307837012954e-05,0.00018031426279281685,0.0005024094080298718,1.0,0.003464327378918639
Lagged recent participation (any),0.000692821219507377,0.0002368911792930471,0.0003320242440664541,0.0011582475191594327,1.0,0.006719753520780456
Lagged external context,0.008689326000880642,0.0008876731833239131,0.007032944815945354,0.009904893032890879,1.0,0.08427878266942303
