model,predictors beyond fixed effects,weighted R2,adjusted R2,weighted RMSE (pp),AIC
Time + Inner/Outer only,0,0.2724389532373126,0.24887422297779227,5.0754629869375805,1580.54407388639
Add population composition,1,0.35669142768194917,0.3331557482068985,4.772551403606543,1551.0372822740565
"Add income, employment and migration",4,0.5864608084867113,0.5660391200169193,3.826478545324715,1443.9179955071245
Add selected recorded crime,5,0.5944171114828818,0.5726296009427061,3.7894899305765097,1440.9446766926271
