removed_predictor_group,remaining_features,baseline_weighted_tv,ablated_refit_weighted_tv,increase_in_weighted_tv,increase_relative_to_baseline
COVID calendar flags,392,0.10310217738862992,0.10310217738862992,0.0,0.0
Lagged survey composition,391,0.10310217738862992,0.10310217738862992,0.0,0.0
Lagged recent participation (2+),270,0.10310217738862992,0.10310529483195834,3.1174433284125724e-06,3.0236445120472917e-05
Borough identity,393,0.10310217738862992,0.10312852619979743,2.634881116750365e-05,0.00025556018150989495
Lagged 12-month participation,270,0.10310217738862992,0.10315194821775772,4.977082912779873e-05,0.00048273305558033195
Calendar and trend,391,0.10310217738862992,0.10320815442290107,0.00010597703427114857,0.0010278835709907684
Lagged activity-state outcomes,391,0.10310217738862992,0.10324993278037616,0.0001477553917462321,0.001433096715206002
Lagged recent participation (any),270,0.10310217738862992,0.10327832127842919,0.00017614388979926565,0.0017084400568507367
Lagged external context,384,0.10310217738862992,0.10525636323992406,0.0021541858512941353,0.020893698909715736
