year,survey_wave,geography_code,geography_name,inner_outer,inactive_rate,fairly_active_rate,active_rate,effective_n,population_age_16_34_rate,population_age_65_plus_rate,earnings_relative_to_london,economic_inactivity_rate,net_migration_per_1000,personal_safety_crime_rate_per_1000,property_public_space_crime_rate_per_1000,selected_recorded_crime_rate_per_1000
1,2015/16,E09000002,Barking and Dagenham,Outer London,0.307532300418993,0.1183058258117641,0.5741618737692429,547.1554366330981,0.3785768598371363,0.1260536423367626,0.857775698242727,0.275,2.9140428435372216,29.93140126101206,36.0137435255234,65.94514478653547
1,2015/16,E09000003,Barnet,Outer London,0.2327082654901464,0.1725774197730471,0.5947143147368064,540.2751100321331,0.3418305821883958,0.1741194688807617,0.9012026808019652,0.275,4.39511653718091,18.436162866730847,31.067185296435998,49.50334816316685
1,2015/16,E09000004,Bexley,Outer London,0.209976226550129,0.1440170912752614,0.6460066821746095,269.1693427731934,0.3022145117902487,0.2071696690882242,0.9038008763396972,0.185,6.040835061432915,17.34159814486502,24.337356487395798,41.67895463226082
1,2015/16,E09000005,Brent,Outer London,0.2727094366566999,0.1620373564390689,0.5652532069042311,243.88584259054983,0.3893073401270122,0.13349579087284,0.8666837972292374,0.248,-2.3680211119096146,26.81552705676942,33.44342116588179,60.258948222651206
1,2015/16,E09000006,Bromley,Outer London,0.1655432971079803,0.1249064655049307,0.709550237387089,268.889478716005,0.2726996000958857,0.2181208692111881,1.0843754662120844,0.191,1.2938623928520203,18.429270964963102,29.093382507924513,47.52265347288761
1,2015/16,E09000007,Camden,Inner London,0.222649459491989,0.1083615716604606,0.6689889688475503,262.0038483383713,0.4287219101123595,0.1361927398444252,1.1738276268682926,0.268,11.365281598378456,33.557239290820355,71.3176166834571,104.87485597427747
1,2015/16,E09000008,Croydon,Outer London,0.2171652233271751,0.1392769703224445,0.6435578063503802,243.7117051475824,0.3303463348467311,0.1646143488685997,0.9507539814144288,0.183,-2.411663397349512,27.40029359318197,32.430714483886895,59.831008077068866
1,2015/16,E09000009,Ealing,Outer London,0.2376538807477033,0.1486413209289153,0.6137047983233813,237.6925615347325,0.3609958506224066,0.1414892543989315,0.9247720260371072,0.213,-7.543564638022106,25.05669461957576,34.424613552606296,59.481308172182054
1,2015/16,E09000010,Enfield,Outer London,0.2471307976765203,0.1385986186814026,0.614270583642077,560.9487496117921,0.3370259492663304,0.1646068004706047,0.8609306499671161,0.253,-3.0453502152747567,22.911437845177318,29.919748385730443,52.83118623090776
1,2015/16,E09000011,Greenwich,Outer London,0.2249320061274282,0.1323793712310938,0.6426886226414779,507.2370234279706,0.3785517244534312,0.1305680471748608,1.0008620382135496,0.211,2.310164724789072,29.214601305700597,36.41933491999736,65.63393622569797
1,2015/16,E09000012,Hackney,Inner London,0.2104848882330178,0.0960386700394273,0.6934764417275547,294.8297126260204,0.4633160434716522,0.0892897856817145,0.9795197177250352,0.252,5.492804614710901,32.78767061546695,50.658445059818234,83.44611567528518
1,2015/16,E09000013,Hammersmith and Fulham,Inner London,0.1952331108136679,0.0766080085724991,0.7281588806138328,257.1869643106036,0.4419547669814194,0.1147007310386841,1.1912726540502088,0.214,-6.502304344115388,28.91679397051056,55.496769535286134,84.4135635057967
1,2015/16,E09000014,Haringey,Inner London,0.1994808484033791,0.1514482157887741,0.6490709358078469,488.7503929901599,0.4034740634070405,0.1126737816777249,0.8943360211665299,0.233,0.003619752264155,31.547869485107434,45.693269691122495,77.24113917622992
