feature,group,coefficient_pp,ci_low,ci_high,p_value
age_65_plus_per_10pp,Demographic structure,14.36808786100499,-0.36123712910712946,29.097412851117106,0.05588955921407935
earnings_relative_per_10pct,Income and employment,-0.03144317144482213,-1.1935418146258088,1.1306554717361643,0.9577070500303054
inactivity_per_10pp,Income and employment,0.59730208902933,-0.8276679638485592,2.0222721419072194,0.41133048482890255
migration_per_10_per_1000,Migration,-0.0005940124257590718,-0.7440840392029416,0.7428960143514235,0.9987505802762677
selected_crime_per_10,Selected recorded crime environment,0.22737596583303196,0.006236485557074817,0.4485154461089891,0.043879708214559957
