age_band,cells,minimum_effective_n,median_effective_n,share_below_20,share_below_30
16–34,256,37.899755412362715,81.74818553192965,0.0,0.0
35–54,256,64.23421434364577,118.3353219103881,0.0,0.0
55–64,256,17.586769758672315,45.51761006558337,0.00390625,0.06640625
65+,256,10.54923726170044,69.47031900053551,0.01171875,0.046875
