feature,specification,coefficient_pp,ci_low,ci_high,p_value
age_65_plus_per_10pp,Borough + year fixed effects,14.36808786100499,-0.36123712910712946,29.097412851117106,0.05588955921407935
age_65_plus_per_10pp,First differences + year effects,26.596786849044626,-2.5938705789616385,55.787444277050895,0.074131267795302
earnings_relative_per_10pct,Borough + year fixed effects,-0.03144317144482213,-1.1935418146258088,1.1306554717361643,0.9577070500303054
earnings_relative_per_10pct,First differences + year effects,0.4388311987816894,-0.7305403452929783,1.6082027428563572,0.4620243287264676
inactivity_per_10pp,Borough + year fixed effects,0.59730208902933,-0.8276679638485592,2.0222721419072194,0.41133048482890255
inactivity_per_10pp,First differences + year effects,1.6481511257051746,0.2745541059509595,3.02174814545939,0.01868678929205726
migration_per_10_per_1000,Borough + year fixed effects,-0.0005940124257590718,-0.7440840392029416,0.7428960143514235,0.9987505802762677
migration_per_10_per_1000,First differences + year effects,-0.138640105774905,-1.0721782908265962,0.7948980792767864,0.7709939703304557
selected_crime_per_10,Borough + year fixed effects,0.22737596583303196,0.006236485557074817,0.4485154461089891,0.043879708214559957
selected_crime_per_10,First differences + year effects,0.20611422364965068,-0.15208807447095815,0.5643165217702595,0.2594092246386853
