geography_code,geography_name,observed_change_pp,common_year_component_pp,demographic_structure_pp,income_and_employment_pp,migration_pp,selected_recorded_crime_environment_pp,model_explained_change_pp,residual_change_pp
E09000002,Barking and Dagenham,-5.252740327920918,0.17831007037342106,-1.4256852882637105,-0.12147927119196866,-0.0008303929406569455,0.20662105706312675,-1.1630638249597882,-4.0896765029611295
E09000003,Barnet,14.820480222163127,0.17831007037342106,1.8859238335589812,-0.07010187481655272,-0.0006059457742396814,0.1322093776361966,2.1257354609778063,12.694744761185321
E09000004,Bexley,-0.5701079209575255,0.17831007037342106,0.21757801342572955,-0.013044190162689817,-0.0005581348755808177,0.23290106685401646,0.6151868256148965,-1.185294746572422
E09000005,Brent,4.299400746439645,0.17831007037342106,1.9723752299440311,0.2409056208161213,-0.0009589078440639084,0.22312151917428738,2.6137535324637975,1.6856472139758472
E09000006,Bromley,-3.372572752694623,0.17831007037342106,0.5387184466688979,-0.06304250329165513,-0.0002583091738540547,0.17713030520688916,0.8308580097836991,-4.203430762478322
E09000007,Camden,7.058895924612756,0.17831007037342106,0.4384355979809442,-0.04729785453091325,0.0009422649966664656,1.0295774047356465,1.599967483555765,5.458928441056991
E09000008,Croydon,1.177000610601695,0.17831007037342106,1.2119150801501388,-0.04506483759691048,-0.001114872553899869,0.1330087577076826,1.4770541980804321,-0.3000535874787371
E09000009,Ealing,7.044503822220989,0.17831007037342106,1.7869870203835665,-0.3806887152579996,-0.0014731990541709484,0.1443890692244933,1.7275242456693105,5.316979576551678
E09000010,Enfield,-1.1602812712530692,0.17831007037342106,2.6173248050524087,0.2616147000827218,-0.00010194076867210011,0.435974549576827,3.4931221843167064,-4.653403455569776
E09000011,Greenwich,-2.4826614296692853,0.17831007037342106,0.28486762146501726,-0.4423463534845027,-0.00026556835719913105,0.17082950387819942,0.19139527387493593,-2.6740567035442213
E09000012,Hackney,-2.2995558057859284,0.17831007037342106,1.650197565401656,-0.6764245358192832,1.2947494114081965e-05,0.22886946730355665,1.3809655147534647,-3.680521320539393
E09000013,Hammersmith and Fulham,0.7554459523976789,0.17831007037342106,1.618622151899584,0.0035007055366460538,-0.0006226091742347737,0.1459388774975062,1.9457491961329225,-1.1903032437352437
E09000014,Haringey,2.700264901947591,0.17831007037342106,3.1364225539232837,-0.10025205531184571,8.163849030265044e-05,0.287053966260284,3.5016161737354454,-0.8013512717878544
E09000015,Harrow,-1.2662019379743938,0.17831007037342106,2.007799661676647,-0.2060749583463392,-0.0010528986717871533,0.1507829000878425,2.129764775119784,-3.395966713094178
E09000016,Havering,3.9187199610067225,0.17831007037342106,-0.9164469053535292,-0.017954850451322203,-0.0004222504799269969,0.2006915352499405,-0.555822400661417,4.4745423616681395
E09000017,Hillingdon,0.3356653925716273,0.17831007037342106,0.09882690440111704,0.1688699604816184,-0.0013926464093959672,-0.03038098352840404,0.41423330531835645,-0.07856791274672914
E09000018,Hounslow,-0.5065608599857683,0.17831007037342106,1.7686132822125618,-0.25449215363039684,-0.0012315092013511775,0.18288175869775788,1.8740814484519925,-2.3806423084377606
E09000019,Islington,1.64061776202783,0.17831007037342106,0.8644175267554421,-0.45048354207931185,0.00035884072280388627,0.12330095252138121,0.7159038482937364,0.9247139137340935
E09000020,Kensington and Chelsea,5.02896110973704,0.17831007037342106,1.751851443958083,0.504878551425923,-0.0010675008939871687,0.5838854808527365,3.0178580457161766,2.011103064020863
E09000021,Kingston upon Thames,4.879605154411891,0.17831007037342106,2.1731670455799357,-0.40443021825786263,-0.0004312784332572592,0.19055724722268313,2.13717286648492,2.742432287926971
E09000022,Lambeth,2.1391382861172303,0.17831007037342106,2.165137066681495,0.35833039743393647,0.0004672943247248695,0.1566882191601194,2.858933047973697,-0.7197947618564666
E09000023,Lewisham,-2.97375056075677,0.17831007037342106,1.2515173897896674,-0.003220175949355856,0.00013946207283668541,0.32974395531139267,1.7564907015979623,-4.730241262354732
E09000024,Merton,-2.351186504485426,0.17831007037342106,1.9593649851451223,0.11626893178867433,-0.0006173950653437032,0.09615607834048652,2.349482670582361,-4.700669175067787
E09000025,Newham,-3.45321781710809,0.17831007037342106,0.9811499037789208,0.09810911374790181,-0.0014312517488283946,0.20846686320195548,1.4646046993533708,-4.917822516461461
E09000026,Redbridge,1.1391859620048734,0.17831007037342106,0.942821922808369,0.37528854605864137,-0.0007115034112201213,0.27109216067038333,1.7668011964995944,-0.627615234494721
E09000027,Richmond upon Thames,4.6672847872674765,0.17831007037342106,3.1911485851448305,0.0971069400468772,-0.00023678974172867552,0.08322400498139512,3.549552810804795,1.1177319764626814
E09000028,Southwark,5.261224833853248,0.17831007037342106,1.508075163690999,0.17550705568324515,-0.0002760867665862129,0.2799982073143462,2.1416144102954253,3.119610423557823
E09000029,Sutton,5.970862057068061,0.17831007037342106,0.7814982703542693,-0.12105880316177395,-0.00020373198286105233,0.20192904466323075,1.0404748502462862,4.9303872068217744
E09000030,Tower Hamlets,-2.135278639897109,0.17831007037342106,0.03010457858970286,0.36260331677412333,0.0006053026490956432,0.10807901594701955,0.6797022843333624,-2.8149809242304715
E09000031,Waltham Forest,-2.997219811492684,0.17831007037342106,1.1493625571652806,0.16254573337729133,-0.0003571595722347115,0.10356582621444167,1.5934270275582,-4.590646839050884
E09000032,Wandsworth,8.741331856591117,0.17831007037342106,1.1592172998460424,-0.2770733380124267,4.720662433917753e-05,0.07779781589848993,1.1382990547298657,7.603032801861251
E09000033,Westminster,5.409591803727288,0.17831007037342106,0.6577907576044097,-0.11464072481245224,-0.0008241351678009163,4.004540216844808,4.725176184842386,0.684415618884902
