predictor_group,mean_shap_importance_share,mean_increase,increase_relative_to_baseline,positive_permutation_increase,permutation_importance_share,shap_rank,permutation_rank,spearman_rank_correlation
Borough identity,0.006538622737458334,0.00016939772893218667,0.001643008258629345,0.00016939772893218667,0.016647702666048453,7.0,5.0,0.6298385584245809
COVID calendar flags,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.6298385584245809
Calendar and trend,0.17389033089749498,0.0,0.0,0.0,0.0,2.0,7.0,0.6298385584245809
Lagged 12-month participation,0.04367492212464248,0.00020444220081769217,0.001982908663966179,0.00020444220081769217,0.020091727280287176,5.0,4.0,0.6298385584245809
Lagged activity-state outcomes,0.04899095588220635,0.0003571796959535569,0.003464327378918639,0.0003571796959535569,0.03510213161691676,4.0,3.0,0.6298385584245809
Lagged external context,0.6426519121546844,0.008689326000880642,0.08427878266942303,0.008689326000880642,0.8539507379637542,1.0,1.0,0.6298385584245809
Lagged recent participation (2+),0.02245026164739573,6.227491487047395e-05,0.000604011636298785,6.227491487047395e-05,0.0061201190408648,6.0,6.0,0.6298385584245809
Lagged recent participation (any),0.061802994556117694,0.000692821219507377,0.006719753520780456,0.000692821219507377,0.06808758143212856,3.0,2.0,0.6298385584245809
Lagged survey composition,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.6298385584245809
