task,median_raw_n,median_n_eff,share_raw_n_below_30,share_n_eff_below_30,share_raw_ge30_but_neff_lt30
overall_activity_level,15.0,10.050732096897553,0.672119140625,0.795654296875,0.12353515625
activity_composition,14.0,9.577955986639768,0.6914239698840726,0.8057762884324596,0.1143523185483871
months12,13.0,8.397409526391202,0.7205810546875,0.8266562184979839,0.10607516381048387
days10p60gr,13.0,8.397660250433901,0.7205810546875,0.8266325919858871,0.1060515372983871
