,disty1_POP,disty2_POP,disty3_POP,disty4_POP,disty5_POP,disty6_POP,disty7_POP,disty8_POP,disty9_POP,disty10_POP,disty11_POP,disty12_POP,disty13_POP
disty1_POP,1.0,0.43755927916534937,0.6902729476235642,0.20370955843608388,0.288860786173464,0.09948361260406786,0.28970386763621037,0.17399093687427547,0.1438507745810939,0.05522183580988513,0.04057329539466751,0.09979976815259775,0.05374644325007904
disty2_POP,0.5885187810063784,1.0,0.6168674698795181,0.22537207654145996,0.31637136782423814,0.11991495393338059,0.3696669029057406,0.1998582565556343,0.156343019135365,0.06520198440822111,0.05088589652728561,0.11764705882352941,0.06562721474131822
disty3_POP,0.6579608237066801,0.4371672526368659,1.0,0.23545956805625315,0.25695630336514313,0.1150175791059769,0.3133098945253641,0.1894525364138624,0.16594676042189854,0.06127574083375188,0.051933701657458566,0.10306378704168759,0.049020592667001504
disty4_POP,0.6993487698986975,0.5752532561505065,0.8480463096960926,1.0,0.3191027496382055,0.1913892908827786,0.3379160636758321,0.30028943560057886,0.21852387843704776,0.11324167872648336,0.11107091172214183,0.16172214182344427,0.056439942112879886
disty5_POP,0.42535692116697704,0.3463687150837989,0.39695841092489137,0.13687150837988826,1.0,0.0882991930477964,0.2521725636250776,0.26256983240223464,0.1042830540037244,0.11669770328988206,0.06253879577901925,0.260552451893234,0.07153941651148354
disty6_POP,0.5816389402341343,0.5212569316081331,0.7054836722119532,0.325939617991374,0.35058533579790513,1.0,0.41343191620455944,0.37707948243992606,0.3555144793592113,0.14602587800369685,0.12630930375847196,0.1897720271102896,0.08564386937769562
disty7_POP,0.5399725004910627,0.5122765664898841,0.6126497741111766,0.18346100962482814,0.31919072873698684,0.1318012178353958,1.0,0.22746022392457277,0.18797878609310548,0.07719505008839128,0.058141818896091144,0.1357297191121587,0.061284619917501476
disty8_POP,0.5805203938115331,0.4957805907172996,0.6631504922644164,0.2918424753867792,0.5949367088607594,0.21518987341772153,0.40717299578059074,1.0,0.2640646976090014,0.2320675105485232,0.14556962025316456,0.3150492264416315,0.08649789029535865
disty9_POP,0.5645161290322581,0.45616211745244,0.6832092638544252,0.24979321753515302,0.27791563275434245,0.23862696443341605,0.3957816377171216,0.3105872622001654,1.0,0.10752688172043011,0.08726220016542598,0.1315136476426799,0.04921422663358147
disty10_POP,0.4962121212121212,0.4356060606060606,0.5776515151515151,0.29640151515151514,0.7121212121212122,0.22443181818181818,0.3721590909090909,0.625,0.24621212121212122,1.0,0.26136363636363635,0.47632575757575757,0.09943181818181818
disty11_POP,0.5445544554455446,0.5077793493635078,0.7312588401697313,0.43422913719943423,0.57001414427157,0.28995756718529,0.4186704384724187,0.5855728429985856,0.2984441301272984,0.39038189533239037,1.0,0.4314002828854314,0.11315417256011315
disty12_POP,0.4608272506082725,0.40389294403892945,0.4992700729927007,0.21751824817518248,0.8170316301703163,0.14987834549878346,0.3362530413625304,0.4360097323600973,0.15474452554744525,0.24476885644768856,0.14841849148418493,1.0,0.09586374695863747
disty13_POP,0.3648068669527897,0.3311874105865522,0.3490701001430615,0.11158798283261803,0.32975679542203146,0.0994277539341917,0.22317596566523606,0.1759656652360515,0.08512160228898426,0.07510729613733906,0.05722460658082976,0.14091559370529327,1.0
