LA_2023,small_cell_rate
201.0,0.7924017137096774
280.0,0.7912676411290323
160.0,0.7823210685483871
272.0,0.7767767137096774
78.0,0.7443926411290323
139.0,0.7231602822580645
279.0,0.7142137096774194
112.0,0.7075352822580645
35.0,0.7053301411290323
241.0,0.7041960685483871
117.0,0.7041960685483871
147.0,0.6997227822580645
9.0,0.6985887096774194
126.0,0.6963835685483871
68.0,0.6963835685483871
171.0,0.6907762096774194
293.0,0.6885710685483871
136.0,0.6874369959677419
196.0,0.6796244959677419
142.0,0.6774193548387096
255.0,0.6751512096774194
30.0,0.6718119959677419
109.0,0.6718119959677419
114.0,0.6595262096774194
44.0,0.6528477822580645
91.0,0.6483744959677419
17.0,0.6461693548387096
122.0,0.6439012096774194
129.0,0.6316154233870968
135.0,0.6282762096774194
107.0,0.6260710685483871
8.0,0.6093119959677419
