,active_rate,participation_MONTHS_12,participation_DAYS10P60GR
active_rate,1.0,0.6990548120239037,0.8493145845632379
participation_MONTHS_12,0.6990548120239037,1.0,0.8213505684525007
participation_DAYS10P60GR,0.8493145845632379,0.8213505684525007,1.0
