year,limiting_disability,no_disability,gap_no_minus_limiting
9,0.5181190392741788,0.7092339784498299,0.19111493917565114
10,0.5163775682861971,0.7152381328008054,0.19886056451460832
11,0.5141381089204946,0.7180222835647821,0.20388417464428754
12,0.5129383984030513,0.7186311986995965,0.20569280029654513
13,0.512865372213049,0.719265611927493,0.2064002397144441
14,0.5127372052281474,0.7191856374324843,0.20644843220433695
15,0.512865372213049,0.7193025955794664,0.20643722336641745
16,0.5127372052281474,0.7191856374324843,0.20644843220433695
