LA_2023,disability_group,year,inactive_rate,fairly_active_rate,active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,disty1,9,0.4327840530131375,0.0814050759698989,0.4858108710169636,8,1,44.5,28,0.125,False,False,False
107,disty10,9,0.5400163472272941,0.2361595937221715,0.2238240590505345,8,8,5.5,1,1.0,True,False,True
107,disty11,9,0.8453398403520996,0.1546601596479003,0.0,7,7,5.0,1,1.0,True,True,True
107,disty12,9,0.3230556839552704,0.1998808676631644,0.4770634483815651,8,8,9.5,3,1.0,True,False,True
107,disty13,9,0.1122305771036597,0.0,0.8877694228963404,8,8,7.0,4,1.0,True,False,True
107,disty2,9,0.3382927224116826,0.133253789536226,0.5284534880520916,8,4,33.0,18,0.5,True,False,True
107,disty3,9,0.5110023532540254,0.1341077615812224,0.3548898851647523,8,2,44.0,25,0.25,False,False,False
107,disty4,9,0.4595188209602815,0.106792966588979,0.4336882124507394,8,8,13.0,8,1.0,True,False,True
107,disty5,9,0.3080635938746363,0.0417040106499022,0.6502323954754614,8,3,35.0,20,0.375,False,False,False
107,disty6,9,0.4842223071697251,0.1263192829230501,0.3894584099072248,8,8,7.0,2,1.0,True,False,True
107,disty7,9,0.3761640965663128,0.1020222610795014,0.5218136423541858,8,4,25.5,16,0.5,True,False,True
107,disty8,9,0.510119444931471,0.1417156996194858,0.3481648554490431,8,8,16.0,7,1.0,True,False,True
107,disty9,9,0.4317058683091616,0.2608333511627364,0.3074607805281018,8,8,14.5,4,1.0,True,False,True
107,limiting_disability,9,0.4103662414659085,0.0990649808131738,0.4905687777209175,8,0,87.5,57,0.0,False,False,False
107,no_disability,9,0.2404861186933713,0.1184238301289937,0.6410900511776351,8,0,325.5,300,0.0,False,False,False
107,non_limiting_disability,9,0.1901861882039359,0.1222531414442038,0.6875606703518603,8,0,88.0,60,0.0,False,False,False
109,disty1,9,0.51836268214747,0.0873841793281265,0.3942531385244033,8,2,38.0,23,0.25,False,False,False
109,disty10,9,0.4197488433690869,0.0566662463162846,0.5235849103146284,8,8,5.5,1,1.0,True,False,True
109,disty11,9,0.7294818074979226,0.1172214890294189,0.1532967034726585,8,8,4.0,2,1.0,True,False,True
