year,LA_2023,disability_group,activity,participation_MONTHS_12,second_activity,second_participation_MONTHS_12,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,112,disty10,ACTTRAV_C03,0.7010653248638916,WALKTRAV_B02,0.6600036659139639,0.04106165894992775,False,6,6,3.5,1,1.0,True,True,True
9,112,disty11,ACTTRAV_C03,0.5484402789760646,WALKTRAV_B02,0.5342923470322847,0.014147931943779946,False,6,6,2.5,1,1.0,True,True,True
9,112,disty12,ACTTRAV_C03,0.6719822102001878,WALKTRAV_B02,0.6519504311263812,0.0200317790738066,False,7,7,10.0,3,1.0,True,True,True
9,112,disty13,ACTTRAV_C03,0.7297191634386684,WALKTRAV_B02,0.7155712314948884,0.014147931943779946,False,7,7,5.0,3,1.0,True,True,True
9,112,disty2,ACTTRAV_C03,0.6908836899169944,WALKTRAV_B02,0.6767357579732145,0.014147931943779946,False,8,7,24.5,22,0.875,True,False,True
9,112,disty3,ACTTRAV_C03,0.6355369262600254,WALKTRAV_B02,0.6188257123605313,0.01671121389949415,False,8,0,32.5,31,0.0,False,False,False
9,112,disty4,ACTTRAV_C03,0.7353374413486957,WALKTRAV_B02,0.7211895094049158,0.014147931943779946,False,8,8,9.0,7,1.0,True,False,True
9,112,disty5,ACTTRAV_C03,0.6925005056527284,WALKTRAV_B02,0.6696528555042013,0.022847650148527077,False,8,7,21.0,8,0.875,True,False,True
9,112,disty6,ACTTRAV_C03,0.6917147922558372,WALKTRAV_B02,0.6775668603120573,0.014147931943779946,False,8,8,6.0,3,1.0,True,False,True
9,112,disty7,ACTTRAV_C03,0.6479657708875982,WALKTRAV_B02,0.6064557993948061,0.04150997149279212,False,8,8,18.0,12,1.0,True,False,True
9,112,disty8,ACTTRAV_C03,0.6136346258536995,WALKTRAV_B02,0.5958576019411398,0.017777023912559753,False,8,8,6.0,4,1.0,True,False,True
9,112,disty9,ACTTRAV_C03,0.680396788782656,WALKTRAV_B02,0.648212855717431,0.032183933065224934,False,8,8,6.0,3,1.0,True,False,True
9,112,limiting_disability,ACTTRAV_C03,0.6850051482309432,WALKTRAV_B02,0.6637429706875915,0.02126217754335169,False,8,0,62.5,60,0.0,False,False,False
9,112,no_disability,ACTTRAV_C03,0.7552578639597817,WALKTRAV_B02,0.7339584735189955,0.021299390440786214,False,8,0,337.0,320,0.0,False,False,False
9,112,non_limiting_disability,ACTTRAV_C03,0.7451274487441634,WALKTRAV_B02,0.7300007798852514,0.015126668858912007,False,8,0,66.0,55,0.0,False,False,False
9,114,disty1,ACTTRAV_C03,0.6720024516496056,WALKTRAV_B02,0.6578545197058256,0.014147931943779946,False,8,2,37.0,20,0.25,False,False,False
9,114,disty10,ACTTRAV_C03,0.7356954919734248,WALKTRAV_B02,0.7215475600296448,0.014147931943779946,False,7,7,4.0,2,1.0,True,True,True
9,114,disty11,ACTTRAV_C03,0.626914141890692,WALKTRAV_B02,0.6127662099469121,0.014147931943779835,False,6,6,3.0,1,1.0,True,True,True
9,114,disty12,ACTTRAV_C03,0.6990625110183032,WALKTRAV_B02,0.6797070585819488,0.019355452436354392,False,8,8,8.0,2,1.0,True,False,True
9,114,disty13,ACTTRAV_C03,0.7507978104162958,WALKTRAV_B02,0.7366498784725158,0.014147931943779946,False,8,8,6.0,3,1.0,True,False,True
9,114,disty2,ACTTRAV_C03,0.679521441023116,WALKTRAV_B02,0.6653735090793361,0.014147931943779835,False,8,3,30.5,20,0.375,False,False,False
9,114,disty3,ACTTRAV_C03,0.6471003443329842,WALKTRAV_B02,0.6329524123892043,0.014147931943779946,False,8,2,38.0,19,0.25,False,False,False
9,114,disty4,ACTTRAV_C03,0.5981642298754675,WALKTRAV_B02,0.5840162979316875,0.014147931943779946,False,8,8,10.5,5,1.0,True,False,True
9,114,disty5,ACTTRAV_C03,0.703686932218021,WALKTRAV_B02,0.6820505146518375,0.021636417566183508,False,8,3,30.5,14,0.375,False,False,False
9,114,disty6,ACTTRAV_C03,0.6793761191459267,WALKTRAV_B02,0.6652281872021467,0.014147931943779946,False,8,8,7.0,5,1.0,True,False,True
9,114,disty7,ACTTRAV_C03,0.6628928545097786,WALKTRAV_B02,0.6487449225659987,0.014147931943779946,False,8,7,21.0,7,0.875,True,False,True
9,114,disty8,ACTTRAV_C03,0.6766165757323206,WALKTRAV_B02,0.6624686437885406,0.014147931943779946,False,8,8,12.5,5,1.0,True,False,True
9,114,disty9,ACTTRAV_C03,0.6607332489700661,WALKTRAV_B02,0.6465853170262862,0.014147931943779946,False,8,8,10.5,6,1.0,True,False,True
9,114,limiting_disability,ACTTRAV_C03,0.6943364712937817,WALKTRAV_B02,0.6765037436529004,0.017832727640881285,False,8,0,76.5,47,0.0,False,False,False
9,114,no_disability,ACTTRAV_C03,0.7447312744831419,WALKTRAV_B02,0.7245823178094293,0.020148956673712637,False,8,0,324.5,273,0.0,False,False,False
9,114,non_limiting_disability,ACTTRAV_C03,0.7481772656236563,WALKTRAV_B02,0.7289248702489267,0.01925239537472956,False,8,0,81.5,66,0.0,False,False,False
9,117,disty1,ACTTRAV_C03,0.6664454503410028,WALKTRAV_B02,0.6522975183972228,0.014147931943779946,False,8,3,32.0,23,0.375,False,False,False
9,117,disty10,ACTTRAV_C03,0.6400475460721384,WALKTRAV_B02,0.6258996141283585,0.014147931943779946,False,8,8,3.0,1,1.0,True,False,True
9,117,disty11,ACTTRAV_C03,0.6656506813836275,WALKTRAV_B02,0.6515027494398475,0.014147931943779946,False,6,6,2.5,2,1.0,True,True,True
9,117,disty12,ACTTRAV_C03,0.7192188820692151,WALKTRAV_B02,0.7050709501254352,0.014147931943779946,False,7,7,7.0,1,1.0,True,True,True
9,117,disty13,ACTTRAV_C03,0.6884067672254258,WALKTRAV_B02,0.6742588352816459,0.014147931943779946,False,8,8,4.0,2,1.0,True,False,True
9,117,disty2,ACTTRAV_C03,0.6616878483185465,WALKTRAV_B02,0.6475399163747666,0.014147931943779946,False,8,5,22.5,17,0.625,True,False,True
9,117,disty3,ACTTRAV_C03,0.6611193979824174,WALKTRAV_B02,0.6469714660386374,0.014147931943779946,False,8,0,36.5,30,0.0,False,False,False
9,117,disty4,ACTTRAV_C03,0.6596097488762106,WALKTRAV_B02,0.6454618169324307,0.014147931943779946,False,8,8,8.5,3,1.0,True,False,True
9,117,disty5,ACTTRAV_C03,0.6201826912786148,WALKTRAV_B02,0.6060347593348349,0.014147931943779946,False,8,8,16.0,9,1.0,True,False,True
9,117,disty6,ACTTRAV_C03,0.653929249464129,WALKTRAV_B02,0.6397813175203491,0.014147931943779946,False,8,8,6.0,1,1.0,True,False,True
9,117,disty7,ACTTRAV_C03,0.6542372827027007,WALKTRAV_B02,0.6400893507589206,0.014147931943780057,False,8,8,17.0,13,1.0,True,False,True
9,117,disty8,ACTTRAV_C03,0.6597597487968963,WALKTRAV_B02,0.6456118168531163,0.014147931943779946,False,8,8,8.5,3,1.0,True,False,True
9,117,disty9,ACTTRAV_C03,0.664090984524719,WALKTRAV_B02,0.6499430525809391,0.014147931943779946,False,8,8,10.5,4,1.0,True,False,True
9,117,limiting_disability,ACTTRAV_C03,0.6677896258481598,WALKTRAV_B02,0.6536416939043799,0.014147931943779946,False,8,0,65.5,51,0.0,False,False,False
9,117,no_disability,ACTTRAV_C03,0.7022634378531368,WALKTRAV_B02,0.6848949250659288,0.01736851278720808,False,8,0,331.5,298,0.0,False,False,False
9,117,non_limiting_disability,ACTTRAV_C03,0.7016063622717402,WALKTRAV_B02,0.6864163830327563,0.015189979238983908,False,8,0,65.5,54,0.0,False,False,False
9,122,disty1,ACTTRAV_C03,0.6084689107175487,WALKTRAV_B02,0.5926577528475198,0.015811157870028958,False,8,0,51.5,41,0.0,False,False,False
9,122,disty10,ACTTRAV_C03,0.6719825281996337,WALKTRAV_B02,0.6578345962558537,0.014147931943779946,False,7,7,4.0,1,1.0,True,True,True
9,122,disty11,ACTTRAV_C03,0.6687166987088865,WALKTRAV_B02,0.6545687667651064,0.014147931943780057,False,6,6,3.0,1,1.0,True,True,True
9,122,disty12,ACTTRAV_C03,0.5864977485709016,WALKTRAV_B02,0.5723498166271217,0.014147931943779946,False,8,8,7.5,3,1.0,True,False,True
9,122,disty13,ACTTRAV_C03,0.6320510690303853,WALKTRAV_B02,0.6179031370866054,0.014147931943779946,False,8,8,5.0,2,1.0,True,False,True
9,122,disty2,ACTTRAV_C03,0.6360120381588995,WALKTRAV_B02,0.6200744676732918,0.015937570485607733,False,8,2,32.5,21,0.25,False,False,False
9,122,disty3,ACTTRAV_C03,0.6091639160186438,WALKTRAV_B02,0.5950159840748639,0.014147931943779946,False,8,0,54.0,47,0.0,False,False,False
9,122,disty4,ACTTRAV_C03,0.6127798512124105,WALKTRAV_B02,0.5986319192686306,0.014147931943779946,False,8,8,17.5,11,1.0,True,False,True
9,122,disty5,ACTTRAV_C03,0.6450267199215057,WALKTRAV_B02,0.6271754028057203,0.01785131711578547,False,8,8,23.0,11,1.0,True,False,True
9,122,disty6,ACTTRAV_C03,0.62330506072338,WALKTRAV_B02,0.6091571287796,0.014147931943779946,False,8,8,8.0,1,1.0,True,False,True
9,122,disty7,ACTTRAV_C03,0.6175385438730234,WALKTRAV_B02,0.6033906119292435,0.014147931943779946,False,8,5,24.5,19,0.625,True,False,True
9,122,disty8,ACTTRAV_C03,0.5981235509254987,WALKTRAV_B02,0.5839756189817188,0.014147931943779946,False,8,8,13.5,5,1.0,True,False,True
9,122,disty9,ACTTRAV_C03,0.6227624137829435,WALKTRAV_B02,0.6086144818391636,0.014147931943779946,False,8,8,13.0,8,1.0,True,False,True
9,122,limiting_disability,ACTTRAV_C03,0.6248659560790243,WALKTRAV_B02,0.6099442771311906,0.014921678947833694,False,8,0,83.5,70,0.0,False,False,False
9,122,no_disability,ACTTRAV_C03,0.7044978859925473,WALKTRAV_B02,0.6875801422636663,0.016917743728880996,False,8,0,300.0,269,0.0,False,False,False
9,122,non_limiting_disability,ACTTRAV_C03,0.674563579365228,WALKTRAV_B02,0.6604156474214481,0.014147931943779946,False,8,0,79.0,65,0.0,False,False,False
9,126,disty1,ACTTRAV_C03,0.6301941108657741,WALKTRAV_B02,0.6124803747223743,0.017713736143399883,False,8,0,36.0,33,0.0,False,False,False
9,126,disty10,ACTTRAV_C03,0.6463242938292312,WALKTRAV_B02,0.6321763618854512,0.014147931943779946,False,8,8,4.0,1,1.0,True,False,True
9,126,disty11,ACTTRAV_C03,0.5666314638487785,WALKTRAV_B02,0.5331161990965769,0.03351526475220157,False,8,8,2.5,2,1.0,True,False,True
9,126,disty12,ACTTRAV_C03,0.6491896102278643,WALKTRAV_B02,0.6350416782840843,0.014147931943779946,False,8,8,6.5,1,1.0,True,False,True
9,126,disty13,ACTTRAV_C03,0.6925949287982777,WALKTRAV_B02,0.6605386783605002,0.03205625043777749,False,8,8,5.0,2,1.0,True,False,True
9,126,disty2,ACTTRAV_C03,0.635236091526258,WALKTRAV_B02,0.6176360965389237,0.017599994987334333,False,8,7,24.5,19,0.875,True,False,True
9,126,disty3,ACTTRAV_C03,0.6069419116120123,WALKTRAV_B02,0.588952240399961,0.017989671212051306,False,8,0,36.0,30,0.0,False,False,False
9,126,disty4,ACTTRAV_C03,0.6162624348857186,WALKTRAV_B02,0.5953265642018161,0.02093587068390257,False,8,8,11.0,5,1.0,True,False,True
9,126,disty5,ACTTRAV_C03,0.671110150606208,WALKTRAV_B02,0.654134747332914,0.016975403273294054,False,8,8,22.0,16,1.0,True,False,True
9,126,disty6,ACTTRAV_C03,0.6089117107701724,WALKTRAV_B02,0.5947637788263925,0.014147931943779835,False,8,8,6.0,5,1.0,True,False,True
9,126,disty7,ACTTRAV_C03,0.6259791683457424,WALKTRAV_B02,0.6081227053538494,0.01785646299189303,False,8,8,18.5,12,1.0,True,False,True
9,126,disty8,ACTTRAV_C03,0.6056403637385772,WALKTRAV_B02,0.5836838586671727,0.021956505071404564,False,8,8,10.5,7,1.0,True,False,True
9,126,disty9,ACTTRAV_C03,0.5902595866674128,WALKTRAV_B02,0.5761116547236329,0.014147931943779946,False,8,8,9.5,7,1.0,True,False,True
9,126,limiting_disability,ACTTRAV_C03,0.6434253803405257,WALKTRAV_B02,0.6271158068734565,0.016309573467069183,False,8,0,65.5,51,0.0,False,False,False
9,126,no_disability,ACTTRAV_C03,0.6867516456720453,WALKTRAV_B02,0.6672736558103113,0.01947798986173399,False,8,0,316.0,301,0.0,False,False,False
9,126,non_limiting_disability,ACTTRAV_C03,0.7052192492654306,WALKTRAV_B02,0.6910713173216506,0.014147931943779946,False,8,0,74.5,51,0.0,False,False,False
9,129,disty1,ACTTRAV_C03,0.6301385841749988,WALKTRAV_B02,0.6040599900339808,0.026078594141017986,False,8,0,40.0,30,0.0,False,False,False
9,129,disty10,ACTTRAV_C03,0.5814063407699872,WALKTRAV_B02,0.5672584088262073,0.014147931943779946,False,7,7,5.0,3,1.0,True,True,True
9,129,disty11,ACTTRAV_C03,0.5944514579042026,WALKTRAV_B02,0.5803035259604227,0.014147931943779946,False,8,8,2.0,2,1.0,True,False,True
9,129,disty12,ACTTRAV_C03,0.670045685846039,WALKTRAV_B02,0.655897753902259,0.014147931943779946,False,8,8,11.5,1,1.0,True,False,True
9,129,disty13,ACTTRAV_C03,0.683186748022344,WALKTRAV_B02,0.6690388160785641,0.014147931943779946,False,7,7,6.0,2,1.0,True,True,True
9,129,disty2,ACTTRAV_C03,0.6295753147714688,WALKTRAV_B02,0.6154273828276887,0.014147931943780057,False,8,4,29.0,21,0.5,True,False,True
9,129,disty3,ACTTRAV_C03,0.6302790730406035,WALKTRAV_B02,0.6039465095372553,0.026332563503348227,False,8,0,41.0,32,0.0,False,False,False
9,129,disty4,ACTTRAV_C03,0.6106679219170866,WALKTRAV_B02,0.5965199899733067,0.014147931943779946,False,8,8,10.5,7,1.0,True,False,True
9,129,disty5,ACTTRAV_C03,0.6482159945564909,WALKTRAV_B02,0.6330349088556269,0.015181085700864072,False,8,3,32.5,13,0.375,False,False,False
9,129,disty6,ACTTRAV_C03,0.5941271053586407,WALKTRAV_B02,0.570443345885949,0.023683759472691635,False,8,8,6.5,3,1.0,True,False,True
9,129,disty7,ACTTRAV_C03,0.6293398617256519,WALKTRAV_B02,0.615191929781872,0.014147931943779946,False,8,6,22.0,10,0.75,True,False,True
9,129,disty8,ACTTRAV_C03,0.6527363596901649,WALKTRAV_B02,0.6385884277463849,0.014147931943779946,False,8,8,11.5,8,1.0,True,False,True
9,129,disty9,ACTTRAV_C03,0.6185992950024328,WALKTRAV_B02,0.6044513630586529,0.014147931943779946,False,8,8,10.5,4,1.0,True,False,True
