LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
126,disty3,8,0,36.0,30,0.0,False,False,False
126,disty4,8,8,11.0,5,1.0,True,False,True
126,disty5,8,8,22.0,16,1.0,True,False,True
126,disty6,8,8,6.0,5,1.0,True,False,True
126,disty7,8,8,18.5,12,1.0,True,False,True
126,disty8,8,8,10.5,7,1.0,True,False,True
126,disty9,8,8,9.5,7,1.0,True,False,True
126,limiting_disability,8,0,65.5,51,0.0,False,False,False
126,no_disability,8,0,316.0,301,0.0,False,False,False
126,non_limiting_disability,8,0,74.5,51,0.0,False,False,False
129,disty1,8,0,40.0,30,0.0,False,False,False
129,disty10,7,7,5.0,3,1.0,True,True,True
129,disty11,8,8,2.0,2,1.0,True,False,True
129,disty12,8,8,11.5,1,1.0,True,False,True
129,disty13,7,7,6.0,2,1.0,True,True,True
129,disty2,8,4,29.0,21,0.5,True,False,True
129,disty3,8,0,41.0,32,0.0,False,False,False
129,disty4,8,8,10.5,7,1.0,True,False,True
129,disty5,8,3,32.5,13,0.375,False,False,False
129,disty6,8,8,6.5,3,1.0,True,False,True
129,disty7,8,6,22.0,10,0.75,True,False,True
129,disty8,8,8,11.5,8,1.0,True,False,True
129,disty9,8,8,10.5,4,1.0,True,False,True
129,limiting_disability,8,0,84.0,56,0.0,False,False,False
129,no_disability,8,0,322.5,298,0.0,False,False,False
129,non_limiting_disability,8,0,70.0,56,0.0,False,False,False
135,disty1,8,0,35.0,32,0.0,False,False,False
135,disty10,8,8,6.5,3,1.0,True,False,True
135,disty11,8,8,4.0,1,1.0,True,False,True
135,disty12,8,8,10.0,3,1.0,True,False,True
135,disty13,8,8,8.0,5,1.0,True,False,True
135,disty2,8,4,29.5,25,0.5,True,False,True
135,disty3,8,1,36.5,22,0.125,False,False,False
135,disty4,8,8,9.0,5,1.0,True,False,True
135,disty5,8,1,33.5,18,0.125,False,False,False
135,disty6,8,8,5.0,1,1.0,True,False,True
135,disty7,8,7,17.5,14,0.875,True,False,True
135,disty8,8,8,15.5,11,1.0,True,False,True
135,disty9,8,8,8.0,5,1.0,True,False,True
135,limiting_disability,8,0,73.0,64,0.0,False,False,False
135,no_disability,8,0,315.0,302,0.0,False,False,False
135,non_limiting_disability,8,0,73.0,53,0.0,False,False,False
136,disty1,8,2,36.5,24,0.25,False,False,False
136,disty10,8,8,4.0,3,1.0,True,False,True
136,disty11,8,8,3.5,1,1.0,True,False,True
136,disty12,8,8,6.5,3,1.0,True,False,True
136,disty13,7,7,5.0,1,1.0,True,True,True
136,disty2,8,5,27.5,20,0.625,True,False,True
136,disty3,8,1,38.0,27,0.125,False,False,False
136,disty4,8,8,13.0,6,1.0,True,False,True
136,disty5,8,5,24.5,16,0.625,True,False,True
136,disty6,8,8,6.5,3,1.0,True,False,True
136,disty7,8,8,17.0,10,1.0,True,False,True
136,disty8,8,8,11.0,7,1.0,True,False,True
136,disty9,8,8,8.0,4,1.0,True,False,True
136,limiting_disability,8,0,66.0,51,0.0,False,False,False
136,no_disability,8,0,315.5,291,0.0,False,False,False
136,non_limiting_disability,8,0,71.5,64,0.0,False,False,False
139,disty1,8,4,30.0,19,0.5,True,False,True
139,disty10,8,8,2.5,1,1.0,True,False,True
139,disty11,7,7,2.0,1,1.0,True,True,True
139,disty12,8,8,6.5,2,1.0,True,False,True
139,disty13,8,8,3.0,1,1.0,True,False,True
139,disty2,8,6,24.5,14,0.75,True,False,True
139,disty3,8,2,35.0,22,0.25,False,False,False
139,disty4,8,8,10.0,6,1.0,True,False,True
139,disty5,8,6,20.0,14,0.75,True,False,True
139,disty6,8,8,5.5,4,1.0,True,False,True
139,disty7,8,8,15.0,12,1.0,True,False,True
139,disty8,8,8,5.5,4,1.0,True,False,True
139,disty9,8,8,7.0,2,1.0,True,False,True
139,limiting_disability,8,0,63.0,48,0.0,False,False,False
139,no_disability,8,0,317.5,306,0.0,False,False,False
