latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,11.0,3600,Europe/London,GMT+1

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),sunshine_duration (s),wind_speed_10m_max (km/h)
2016-09-05,21.8,14.9,2.40,9.0,0.00,12.8
2016-09-06,23.3,18.4,0.10,1.0,0.00,10.0
2016-09-07,25.1,16.6,0.00,0.0,24061.74,12.8
2016-09-08,21.9,15.6,0.00,0.0,43424.49,23.6
2016-09-09,21.2,14.8,0.20,2.0,26066.40,28.8
2016-09-10,18.9,16.1,7.50,11.0,249.22,25.6
2016-09-11,19.7,11.4,0.00,0.0,43200.00,13.0
2016-09-12,24.2,12.0,0.00,0.0,42395.83,21.0
2016-09-13,29.4,17.1,0.00,0.0,43200.00,16.6
2016-09-14,26.1,17.8,0.00,0.0,43200.00,14.6
2016-09-15,26.5,16.4,2.00,5.0,43200.00,14.2
2016-09-16,17.5,15.0,17.70,17.0,10472.97,22.8
2016-09-17,17.2,13.6,0.20,1.0,133.39,26.8
2016-09-18,19.5,13.7,0.00,0.0,22236.75,12.1
2016-09-19,19.2,14.6,1.60,6.0,14400.00,9.4
2016-09-20,18.1,14.4,0.00,0.0,6494.90,11.1
2016-09-21,21.0,11.9,0.00,0.0,42014.16,14.0
2016-09-22,18.8,12.7,0.40,4.0,36168.13,15.6
2016-09-23,18.4,7.5,0.00,0.0,42625.06,12.8
2016-09-24,21.6,10.8,0.00,0.0,32482.21,24.6
2016-09-25,18.4,11.8,0.00,0.0,36689.97,24.3
2016-09-26,17.0,9.8,0.70,3.0,16749.74,17.9
2016-09-27,19.2,11.8,0.00,0.0,1545.82,24.0
2016-09-28,21.8,11.7,0.00,0.0,29559.95,23.7
2016-09-29,19.1,13.1,0.10,1.0,22839.50,25.8
2016-09-30,17.2,10.7,0.30,2.0,39300.15,19.3
2016-10-01,15.2,9.2,3.20,6.0,25710.40,14.2
2016-10-02,15.8,8.4,0.00,0.0,39067.08,19.2
2016-10-03,16.2,6.1,0.00,0.0,35504.20,9.8
2016-10-04,16.9,10.4,0.00,0.0,38690.99,22.7
2016-10-05,14.9,11.1,0.00,0.0,38822.12,28.0
2016-10-06,13.6,11.0,0.00,0.0,8499.29,22.7
2016-10-07,15.2,10.5,0.10,1.0,20401.14,18.0
2016-10-08,15.2,9.5,0.60,2.0,11474.86,14.2
2016-10-09,14.4,7.5,0.40,3.0,37464.08,17.6
2016-10-10,13.0,5.6,0.00,0.0,37342.86,15.2
2016-10-11,14.0,5.9,0.00,0.0,36816.76,11.9
2016-10-12,14.0,8.9,0.30,2.0,31839.73,19.6
2016-10-13,12.8,7.9,0.50,3.0,32858.99,23.2
2016-10-14,13.9,8.6,0.00,0.0,21914.17,15.5
2016-10-15,16.1,8.8,1.60,2.0,36000.00,16.8
2016-10-16,16.2,10.0,7.50,7.0,23027.61,26.9
2016-10-17,16.2,10.3,0.70,4.0,35804.46,20.4
2016-10-18,13.0,9.3,0.70,5.0,27258.01,23.7
2016-10-19,13.9,8.6,0.00,0.0,33181.41,20.1
2016-10-20,13.5,8.7,0.10,1.0,33603.64,21.3
2016-10-21,12.4,7.0,0.00,0.0,20353.36,18.0
2016-10-22,13.1,5.8,0.00,0.0,33382.83,12.1
2016-10-23,12.5,6.7,0.00,0.0,32074.64,23.9
2016-10-24,12.4,8.7,2.70,10.0,0.00,16.9
2016-10-25,14.8,6.2,0.10,1.0,25200.00,7.8
2016-10-26,14.3,8.5,0.10,1.0,9311.54,17.4
2016-10-27,13.2,6.1,0.00,0.0,15546.45,18.5
2016-10-28,15.7,10.8,0.00,0.0,18242.04,18.5
2016-10-29,16.3,12.2,0.00,0.0,2636.17,7.2
2016-10-30,14.8,10.6,0.00,0.0,4114.40,11.3
2016-10-31,17.4,7.2,0.00,0.0,32400.00,8.4
2016-11-01,12.6,6.8,0.00,0.0,0.00,18.0
2016-11-02,9.9,3.1,0.00,0.0,32311.90,12.7
2016-11-03,10.8,1.4,0.00,0.0,23431.60,13.4
2016-11-04,10.8,5.0,5.70,7.0,4484.29,11.5
2016-11-05,8.4,1.6,0.00,0.0,28404.74,24.8
2016-11-06,7.1,1.6,0.60,3.0,23827.23,25.6
2016-11-07,8.0,2.7,0.00,0.0,31712.31,29.3
2016-11-08,6.4,-1.0,0.60,3.0,25477.27,12.1
2016-11-09,8.1,4.1,13.10,13.0,11922.77,23.1
2016-11-10,10.4,4.7,0.20,1.0,27364.50,21.1
2016-11-11,9.4,1.9,0.00,0.0,31293.49,18.5
2016-11-12,9.6,5.8,10.10,10.0,0.00,22.7
2016-11-13,10.0,5.1,0.00,0.0,29840.60,15.8
2016-11-14,11.8,4.8,1.60,5.0,1140.62,19.1
2016-11-15,13.8,11.8,0.20,1.0,0.00,14.7
2016-11-16,12.6,9.3,0.30,2.0,13376.70,24.9
2016-11-17,11.7,6.7,0.30,3.0,25201.83,33.7
2016-11-18,7.2,3.1,0.00,0.0,29252.49,23.3
2016-11-19,7.6,0.9,1.50,4.0,23556.75,16.3
2016-11-20,9.4,4.4,15.50,11.0,0.00,31.7
2016-11-21,12.2,4.7,13.60,19.0,3384.89,28.3
2016-11-22,10.6,7.0,1.80,8.0,26610.84,30.0
2016-11-23,10.4,2.9,0.00,0.0,13763.64,23.2
2016-11-24,10.5,6.8,0.00,0.0,26925.41,29.2
2016-11-25,9.7,5.5,0.00,0.0,28381.86,25.1
2016-11-26,8.8,2.4,0.00,0.0,28326.49,14.3
2016-11-27,8.4,4.7,0.00,0.0,14537.05,19.6
2016-11-28,7.5,2.1,0.00,0.0,28225.51,17.7
2016-11-29,5.2,-2.0,0.00,0.0,28180.17,10.6
2016-11-30,3.9,-4.0,0.00,0.0,28138.34,8.7
2016-12-01,5.3,-1.8,0.00,0.0,15433.77,10.2
2016-12-02,7.0,-0.3,0.00,0.0,22099.72,9.2
2016-12-03,7.1,2.5,0.00,0.0,25742.80,17.2
2016-12-04,5.4,-0.0,0.00,0.0,28003.62,18.1
2016-12-05,6.7,-1.5,0.00,0.0,25604.45,10.0
2016-12-06,10.3,2.8,0.00,0.0,0.00,11.8
2016-12-07,12.4,9.1,0.00,0.0,20841.58,20.5
2016-12-08,12.8,9.9,0.40,1.0,0.00,21.6
2016-12-09,13.0,9.5,0.00,0.0,13496.49,19.2
2016-12-10,12.4,9.5,5.40,10.0,0.00,26.0
2016-12-11,8.9,4.2,0.00,0.0,26630.43,15.4
2016-12-12,10.5,2.2,1.40,4.0,5744.29,16.4
2016-12-13,11.9,7.5,0.00,0.0,0.00,17.3
2016-12-14,11.5,6.1,0.00,0.0,25145.64,15.5
2016-12-15,10.0,4.8,0.00,0.0,146.39,15.5
2016-12-16,9.9,7.3,0.00,0.0,3277.33,11.4
2016-12-17,8.1,5.5,0.00,0.0,0.00,7.2
2016-12-18,8.2,5.3,0.10,1.0,2041.35,6.1
2016-12-19,6.5,5.0,0.00,0.0,0.00,10.1
2016-12-20,6.3,1.9,0.00,0.0,19000.52,17.7
2016-12-21,10.9,4.3,0.40,4.0,0.00,25.1
2016-12-22,8.7,2.0,0.00,0.0,24249.98,15.8
2016-12-23,11.3,4.3,1.00,3.0,0.00,35.3
2016-12-24,9.5,4.9,0.00,0.0,14785.72,26.3
2016-12-25,11.8,8.5,0.00,0.0,0.00,28.5
2016-12-26,11.5,2.3,0.20,1.0,27457.45,25.6
2016-12-27,5.9,-1.1,0.00,0.0,26417.93,11.9
2016-12-28,5.4,-1.0,0.00,0.0,16734.08,11.8
2016-12-29,6.3,-1.0,0.00,0.0,27592.12,11.4
2016-12-30,5.1,-0.4,0.00,0.0,0.00,9.7
2016-12-31,6.6,2.3,0.20,2.0,0.00,14.3
