age_group_code,age_group,historical_period_median_rate_pct,historical_years,forecast_period_median_rate_pct,forecast_years,period_difference_pp,historical_rank,forecast_rank
2,16-24,14.260504211399484,6,14.690816616961424,6,0.4303124055619403,1,1
3,25-34,8.20240391316567,6,10.212178327612055,6,2.009774414446385,6,3
4,35-44,9.520383216404841,6,10.212178327612055,6,0.6917951112072132,3,3
5,45-54,12.40043814128865,6,12.215764565241072,6,-0.18467357604757773,2,2
6,55-64,9.171833989566665,6,10.212178327612055,6,1.04034433804539,4,3
7,65-74,8.903689771484,6,10.212178327612055,6,1.3084885561280544,5,3
8,75-84,6.938711314477921,6,9.48868454726346,6,2.54997323278554,7,7
9,85+,0.0,6,3.088179631589636,6,3.088179631589636,8,8
