series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_109__age_2__activity_0,109,2,16-24,0,inactive,0.1795728558406329,True,borough_age_activity,9,1,0.1795728558406329,0,6,109,16-24__inactive,Gradient Boosting,0.07534226669288058,0.07534226669288058,False,observed_year8,7.534226669288058,-10.423058914775233
borough_109__age_2__activity_1,109,2,16-24,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,16-24__fairly_active,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_2__activity_2,109,2,16-24,2,active,0.1353026777146287,True,borough_age_activity,9,1,0.1353026777146287,0,6,109,16-24__active,Gradient Boosting,0.14508247209693548,0.14508247209693548,False,observed_year8,14.508247209693547,0.9779794382306778
borough_109__age_3__activity_0,109,3,25-34,0,inactive,0.0735074011220812,True,borough_age_activity,9,1,0.0735074011220812,0,6,109,25-34__inactive,Gradient Boosting,0.06036693092478449,0.06036693092478449,False,observed_year8,6.036693092478449,-1.3140470197296714
borough_109__age_3__activity_1,109,3,25-34,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,25-34__fairly_active,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_3__activity_2,109,3,25-34,2,active,0.1081327569552019,True,borough_age_activity,9,1,0.1081327569552019,0,6,109,25-34__active,Gradient Boosting,0.08982264969966053,0.08982264969966053,False,observed_year8,8.982264969966053,-1.8310107255541372
borough_109__age_4__activity_0,109,4,35-44,0,inactive,0.1112420350026497,True,borough_age_activity,9,1,0.1112420350026497,0,6,109,35-44__inactive,Gradient Boosting,0.06036693092478449,0.06036693092478449,False,observed_year8,6.036693092478449,-5.087510407786521
borough_109__age_4__activity_1,109,4,35-44,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,35-44__fairly_active,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_4__activity_2,109,4,35-44,2,active,0.1143318507595034,True,borough_age_activity,9,1,0.1143318507595034,0,6,109,35-44__active,Gradient Boosting,0.10526164532752519,0.10526164532752519,False,observed_year8,10.526164532752519,-0.9070205431978215
borough_109__age_5__activity_0,109,5,45-54,0,inactive,0.0,True,borough_age_activity,9,1,0.0,0,6,109,45-54__inactive,Gradient Boosting,0.03722924417351569,0.03722924417351569,False,observed_year8,3.7229244173515688,3.7229244173515688
borough_109__age_5__activity_1,109,5,45-54,1,fairly_active,0.0,True,borough_age_activity,9,1,0.0,0,6,109,45-54__fairly_active,Gradient Boosting,0.04106192613499328,0.04106192613499328,False,observed_year8,4.106192613499328,4.106192613499328
borough_109__age_5__activity_2,109,5,45-54,2,active,0.1413463635111115,True,borough_age_activity,9,1,0.1413463635111115,0,6,109,45-54__active,Gradient Boosting,0.13304377571184803,0.13304377571184803,False,observed_year8,13.304377571184803,-0.8302587799263461
