task,year,cells,available_predictions,mean_rate,median_rate,min_rate,max_rate,clipped_predictions
borough_activity,9,96,96,0.09630768707109687,0.08254020877835301,0.0679752279805545,0.13818283911364448,0
borough_activity,10,96,96,0.094892346829908,0.07714023819129973,0.06998978667068802,0.13697859587679026,0
borough_activity,11,96,96,0.09564579429687482,0.08078628982429877,0.06998978667068802,0.13683537991711314,0
borough_activity,12,96,96,0.09490031190994991,0.07720411052306776,0.06998978667068802,0.13683537991711314,0
borough_activity,13,96,96,0.09564659926437304,0.08078628982429877,0.06998978667068802,0.13683537991711314,0
borough_activity,14,96,96,0.09490031190994991,0.07720411052306775,0.06998978667068802,0.13683537991711314,0
borough_age,9,256,256,0.10109249910384387,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age,10,256,256,0.10104260802371351,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age,11,256,256,0.10104260802371351,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age,12,256,256,0.10104260802371351,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age,13,256,256,0.10104260802371351,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age,14,256,256,0.10104260802371351,0.10212178327612054,0.0190375144635297,0.16698792962481301,0
borough_age_activity,9,768,768,0.07583058506240939,0.06760544534572609,0.021242280250020253,0.19130434320162207,0
borough_age_activity,10,768,768,0.08248597956920974,0.0745735571999926,0.02030404966628374,0.17668019819625058,0
borough_age_activity,11,768,768,0.08478885432446674,0.0745735571999926,0.02086327124301635,0.17659093239871376,0
borough_age_activity,12,768,768,0.08503685738990181,0.0745735571999926,0.02030404966628374,0.17659093239871376,0
borough_age_activity,13,768,768,0.0850407562547794,0.0745735571999926,0.02086327124301635,0.17659093239871376,0
borough_age_activity,14,768,768,0.08503685738990181,0.0745735571999926,0.02030404966628374,0.17659093239871376,0
