series_id,LA_2023,activity_level_3cat,activity_level_3cat_label,year,forecast_horizon,task,model,candidate_id,is_primary_model,predicted_rate,age_group_code,age_group,primary_predicted_rate,difference_from_primary_pp,abs_difference_from_primary_pp
borough_136__activity_2,136,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.1362755617938495,0.14723043261025692,0.14723043261025692
borough_139__activity_0,139,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08333432409350826,,,0.06892133572413513,1.441298836937313,1.441298836937313
borough_139__activity_1,139,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.09092205180532488,,,0.08231331193382975,0.860873987149513,0.860873987149513
borough_139__activity_2,139,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.14856094193757652,,,0.13818283911364448,1.0378102823932034,1.0378102823932034
borough_142__activity_0,142,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.06972571919828884,0.4156211054423292,0.4156211054423292
borough_142__activity_1,142,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.07749327108071742,0.26157049069829713,0.26157049069829713
borough_142__activity_2,142,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13325646798106477,0.4491398138887298,0.4491398138887298
borough_147__activity_0,147,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07148861306031597,0.23933171923961605,0.23933171923961605
borough_147__activity_1,147,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08014770562375524,-0.0038729636054848915,0.0038729636054848915
borough_147__activity_2,147,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.1363665627032576,0.1381303416694485,0.1381303416694485
borough_160__activity_0,160,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07414127636420287,-0.025934611149074083,0.025934611149074083
borough_160__activity_1,160,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08231331193382975,-0.2204335946129357,0.2204335946129357
borough_160__activity_2,160,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13677087922216408,0.09769868977879959,0.09769868977879959
borough_171__activity_0,171,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07365648273672785,0.02254475159842728,0.02254475159842728
borough_171__activity_1,171,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08199835790402825,-0.18893819163278563,0.18893819163278563
borough_171__activity_2,171,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.136798820715238,0.09490454047140773,0.09490454047140773
borough_17__activity_0,17,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07001244177335006,0.3869488479362068,0.3869488479362068
borough_17__activity_1,17,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.07785716083709174,0.22518151506086548,0.22518151506086548
borough_17__activity_2,17,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13679674147719892,0.09511246427531539,0.09511246427531539
borough_196__activity_0,196,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06846941110616032,0.7017433969664186,0.7017433969664186
borough_196__activity_1,196,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08233586969349098,-0.22268937057905863,0.22268937057905863
borough_196__activity_2,196,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13818283911364448,-0.04349729936924118,0.04349729936924118
borough_201__activity_0,201,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07360591322213376,,,0.06835855851953819,0.5247354702595575,0.5247354702595575
borough_201__activity_1,201,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08010897598770039,,,0.08254020877835301,-0.24312327906526182,0.24312327906526182
borough_201__activity_2,201,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.16062653795658913,,,0.13818283911364448,2.244369884294464,2.244369884294464
borough_241__activity_0,241,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07346507500194933,0.04168552507627932,0.04168552507627932
borough_241__activity_1,241,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08171389081081278,,,0.0853173217776049,-0.3603430966792123,0.3603430966792123
borough_241__activity_2,241,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.1363035046963423,0.14443614236097635,0.14443614236097635
borough_255__activity_0,255,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07548684507582451,,,0.06814721272494655,0.7339632350877965,0.7339632350877965
borough_255__activity_1,255,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.08171389081081278,,,0.08574322184882732,-0.4029331038014547,0.4029331038014547
borough_255__activity_2,255,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13677087922216408,0.09769868977879959,0.09769868977879959
borough_272__activity_0,272,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.06908620345896437,,,0.06799035234164545,0.10958511173189134,0.10958511173189134
borough_272__activity_1,272,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.0706321584611081,,,0.08325071435033891,-1.2618555889230818,1.2618555889230818
borough_272__activity_2,272,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.12666613377024746,,,0.13783875526896816,-1.1172621498720696,1.1172621498720696
borough_279__activity_0,279,0.0,inactive,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07388193025271213,,,0.07398374325661324,-0.010181300390110781,0.010181300390110781
borough_279__activity_1,279,1.0,fairly_active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.07983295895712203,,,0.07916445299588222,0.06685059612398098,0.06685059612398098
borough_279__activity_2,279,2.0,active,9,1,borough_activity,Gradient Boosting,Gradient Boosting_04,False,0.13774786611995207,,,0.13586696088868394,0.18809052312681318,0.18809052312681318
