series_id,LA_2023,age_group_code,age_group,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_group_category,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_114__age_6,114,6,55-64,0.0694691139045843,True,borough_age,9,1,0.0694691139045843,0,6,114,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,3.265266937153624
borough_114__age_7,114,7,65-74,0.0457667051904853,True,borough_age,9,1,0.0457667051904853,0,6,114,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,5.635507808563524
borough_114__age_8,114,8,75-84,0.1682705246338149,True,borough_age,9,1,0.1682705246338149,0,6,114,75-84,Gradient Boosting,0.09705618097211419,0.09705618097211419,False,observed_year8,9.705618097211419,-7.121434366170071
borough_114__age_9,114,9,85+,0.0,True,borough_age,9,1,0.0,0,6,114,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_117__age_2,117,2,16-24,0.4203709770680243,True,borough_age,9,1,0.4203709770680243,0,6,117,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-27.346281089841007
borough_117__age_3,117,3,25-34,0.1543324705532756,True,borough_age,9,1,0.1543324705532756,0,6,117,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-5.2210687277155055
borough_117__age_4,117,4,35-44,0.2185199229122329,True,borough_age,9,1,0.2185199229122329,0,6,117,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-11.639813963611237
borough_117__age_5,117,5,45-54,0.1084854084311771,True,borough_age,9,1,0.1084854084311771,0,6,117,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,1.3672237221233619
borough_117__age_6,117,6,55-64,0.1430798972872334,True,borough_age,9,1,0.1430798972872334,0,6,117,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-4.095811401111285
borough_117__age_7,117,7,65-74,0.1122886513018232,True,borough_age,9,1,0.1122886513018232,0,6,117,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-1.0166868025702658
borough_117__age_8,117,8,75-84,0.0779386456522035,True,borough_age,9,1,0.0779386456522035,0,6,117,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,1.694819982043111
borough_117__age_9,117,9,85+,0.0,True,borough_age,9,1,0.0,0,6,117,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_122__age_2,122,2,16-24,0.3088608067401731,True,borough_age,9,1,0.3088608067401731,0,6,122,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-16.195264057055883
borough_122__age_3,122,3,25-34,0.1442301087459172,True,borough_age,9,1,0.1442301087459172,0,6,122,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-4.210832546979668
borough_122__age_4,122,4,35-44,0.0791386868878573,True,borough_age,9,1,0.0791386868878573,0,6,122,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,2.2983096388263236
borough_122__age_5,122,5,45-54,0.1158792440070687,True,borough_age,9,1,0.1158792440070687,0,6,122,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,0.6278401645342019
borough_122__age_6,122,6,55-64,0.0569546562253774,True,borough_age,9,1,0.0569546562253774,0,6,122,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,4.516712705074314
borough_122__age_7,122,7,65-74,0.0706687377129613,True,borough_age,9,1,0.0706687377129613,0,6,122,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,3.145304556315924
borough_122__age_8,122,8,75-84,0.0,True,borough_age,9,1,0.0,0,6,122,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,9.48868454726346
borough_122__age_9,122,9,85+,0.0597454556181791,True,borough_age,9,1,0.0597454556181791,0,6,122,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,-2.8863659302282745
borough_126__age_2,126,2,16-24,0.2083077469092099,True,borough_age,9,1,0.2083077469092099,0,6,126,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-6.139958073959565
borough_126__age_3,126,3,25-34,0.1289908975060883,True,borough_age,9,1,0.1289908975060883,0,6,126,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-2.6869114229967765
borough_126__age_4,126,4,35-44,0.1890814068594321,True,borough_age,9,1,0.1890814068594321,0,6,126,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-8.695962358331155
borough_126__age_5,126,5,45-54,0.0832523963953507,True,borough_age,9,1,0.0832523963953507,0,6,126,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,3.8905249257060017
borough_126__age_6,126,6,55-64,0.0329659353536502,True,borough_age,9,1,0.0329659353536502,0,6,126,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,6.915584792247034
borough_126__age_7,126,7,65-74,0.0446104376346828,True,borough_age,9,1,0.0446104376346828,0,6,126,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,5.751134564143774
borough_126__age_8,126,8,75-84,0.1290739177744028,True,borough_age,9,1,0.1290739177744028,0,6,126,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,-3.4187072301768193
