task,model,candidate_id,is_primary_model,year,forecast_horizon,cells,mean_projected_rate_pp,mean_difference_pp,median_abs_difference_pp,p90_abs_difference_pp
borough_activity,Gradient Boosting,Gradient Boosting_04,False,9,1,96,9.883718091900517,0.25294938479083223,0.33949787601760884,1.2038672453861596
borough_activity,Gradient Boosting,Gradient Boosting_04,False,10,2,96,9.649360726772848,0.16012604378204634,0.2692720765822304,0.563670282130798
borough_activity,Gradient Boosting,Gradient Boosting_04,False,11,3,96,9.636742349466724,0.07216291977924079,0.2340030431875105,0.6466793779176736
borough_activity,Gradient Boosting,Gradient Boosting_04,False,12,4,96,9.64849817355229,0.15846698255729916,0.2628848434054268,0.5522284972863576
borough_activity,Gradient Boosting,Gradient Boosting_04,False,13,5,96,9.636742349466724,0.07208242302941943,0.2340030431875105,0.6478555607296405
borough_activity,Gradient Boosting,Gradient Boosting_04,False,14,6,96,9.64849817355229,0.1584669825572996,0.26288484340542817,0.5522284972863576
borough_activity,Random Forest,Random Forest_01,True,9,1,96,9.630768707109684,-8.818177669548769e-16,0.0,2.7755575615628914e-15
borough_activity,Random Forest,Random Forest_01,True,10,2,96,9.489234682990801,-4.481368979606751e-16,1.3877787807814457e-15,2.7755575615628914e-15
borough_activity,Random Forest,Random Forest_01,True,11,3,96,9.564579429687482,0.0,0.0,0.0
borough_activity,Random Forest,Random Forest_01,True,12,4,96,9.49003119099499,0.0,0.0,0.0
borough_activity,Random Forest,Random Forest_01,True,13,5,96,9.564659926437304,-1.734723475976807e-16,0.0,0.0
borough_activity,Random Forest,Random Forest_01,True,14,6,96,9.49003119099499,1.734723475976807e-16,0.0,0.0
borough_activity,Ridge Regression,Ridge Regression_05,False,9,1,96,10.378730539983922,0.7479618328742358,0.9759464445854196,1.887518048347643
borough_activity,Ridge Regression,Ridge Regression_05,False,10,2,96,10.676439720835061,1.1872050378442598,1.6311848552616088,2.153285894506919
borough_activity,Ridge Regression,Ridge Regression_05,False,11,3,96,11.037394372361504,1.4728149426740236,1.911973868223115,2.395423081701229
borough_activity,Ridge Regression,Ridge Regression_05,False,12,4,96,11.405620928009458,1.915589737014468,2.366312775572546,2.878264325124545
borough_activity,Ridge Regression,Ridge Regression_05,False,13,5,96,11.774683600283439,2.2100236738461345,2.6493372763688896,3.127673775983589
borough_activity,Ridge Regression,Ridge Regression_05,False,14,6,96,12.143842408452588,2.6538112174575965,3.10446081203042,3.6161292720212375
borough_age,Gradient Boosting,Gradient Boosting_04,True,9,1,256,10.109249910384387,0.0,0.0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,True,10,2,256,10.104260802371352,0.0,0.0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,True,11,3,256,10.104260802371352,0.0,0.0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,True,12,4,256,10.104260802371352,0.0,0.0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,True,13,5,256,10.104260802371352,0.0,0.0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,True,14,6,256,10.104260802371352,0.0,0.0,0.0
borough_age,Random Forest,Random Forest_03,False,9,1,256,11.435694551092702,1.3264446407083152,1.1371340342977356,3.1293810081423996
borough_age,Random Forest,Random Forest_03,False,10,2,256,11.367143723616323,1.262882921244972,0.7979053790803083,4.227526061865854
borough_age,Random Forest,Random Forest_03,False,11,3,256,11.364168838048482,1.259908035677131,0.7898137265881261,4.166303066035254
borough_age,Random Forest,Random Forest_03,False,12,4,256,11.364538301452848,1.2602774990814964,0.7898137265881289,4.171184849891205
borough_age,Random Forest,Random Forest_03,False,13,5,256,11.36456491478504,1.2603041124136884,0.7898137265881205,4.171184849891206
borough_age,Random Forest,Random Forest_03,False,14,6,256,11.364437815644528,1.260177013273176,0.7898137265881261,4.171184849891206
borough_age,Ridge Regression,Ridge Regression_07,False,9,1,256,10.727946506622555,0.6186965962381678,1.1011939075463695,7.453042497213234
borough_age,Ridge Regression,Ridge Regression_07,False,10,2,256,10.755171215032258,0.6509104126609055,1.2294133086802668,7.592934220945882
borough_age,Ridge Regression,Ridge Regression_07,False,11,3,256,10.793684955671354,0.6894241533000033,1.2675825742664293,7.631273596150907
borough_age,Ridge Regression,Ridge Regression_07,False,12,4,256,10.832306048449672,0.728045246078321,1.3058416753218776,7.669892049667034
borough_age,Ridge Regression,Ridge Regression_07,False,13,5,256,10.870928162084478,0.7666673597131268,1.2987389530458568,7.70851413820399
borough_age,Ridge Regression,Ridge Regression_07,False,14,6,256,10.909550285427036,0.8052894830556849,1.2617010463130143,7.747136261307882
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,9,1,768,7.583058506240939,0.0,0.0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,10,2,768,8.248597956920973,0.0,0.0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,11,3,768,8.478885432446674,0.0,0.0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,12,4,768,8.503685738990182,0.0,0.0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,13,5,768,8.50407562547794,0.0,0.0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,True,14,6,768,8.503685738990182,0.0,0.0,0.0
borough_age_activity,Random Forest,Random Forest_05,False,9,1,768,9.701058177830285,2.117999671589347,2.1095754708500962,4.2959241446262135
borough_age_activity,Random Forest,Random Forest_05,False,10,2,768,10.192062868197405,1.9434649112764315,1.5994661788782465,4.3198198051240455
borough_age_activity,Random Forest,Random Forest_05,False,11,3,768,10.138616191015824,1.6597307585691503,1.1848533832290098,3.1860916631919642
borough_age_activity,Random Forest,Random Forest_05,False,12,4,768,10.140693820537464,1.6370080815472825,1.1804958023071057,3.156527088323039
