task,origin_year,target_year,forecast_horizon,observations,effective_n_weighted_tv_pp,mae_pp,rmse_pp,mean_error_pp
borough_activity,4,5,1,96,3.3797921762842735,4.077052513669915,5.385346579994389,-2.5941129355470243
borough_activity,5,6,1,96,3.6674645589961896,4.198614216216784,5.056859361144213,2.6081802108352705
borough_activity,6,7,1,96,3.180421585090724,3.3245767804829107,4.251211951662028,-1.1221731515815518
borough_activity,7,8,1,96,3.175103804607718,3.840647737078272,5.056211166321556,-1.8387387388902154
borough_activity,4,6,2,96,3.0348017558572415,3.551995011293496,4.584728677207103,0.5459218611894018
borough_activity,5,7,2,96,2.471357510417316,3.0735129587190424,3.9140718351699113,0.271350621297357
borough_activity,6,8,2,96,3.8493390295224015,4.16320904319566,5.341129587270845,-2.437361824347295
borough_activity,4,7,3,96,2.5998676180552716,3.0347708716785537,4.159925852798955,-1.5508624773143362
borough_activity,5,8,3,96,2.894606199036064,3.6454173738187943,4.83212023045666,-0.8967464034098266
borough_activity,4,8,4,96,3.398704490557934,4.25425136279069,5.514379552475228,-2.7072558890977363
borough_age,4,5,1,250,4.843003583653731,6.790184071349723,12.377146398653549,-3.504360700874244
borough_age,5,6,1,254,4.381635412561431,5.673386042496899,9.182020777697385,1.698718453258169
borough_age,6,7,1,254,4.91870609070563,5.568856557778976,8.02794360789581,-2.63450371354879
borough_age,7,8,1,255,5.02925887609697,5.9372352593885624,10.494494817013765,-2.5374113509892258
borough_age,4,6,2,254,3.8054889971391934,5.141284219377512,8.983979192854258,0.35768655620647316
borough_age,5,7,2,254,4.461830216941571,5.4907399460939335,7.564537563393464,-0.44017297951837253
borough_age,6,8,2,255,5.620448067381397,6.363707554544848,10.807358095598763,-3.754844516619111
borough_age,4,7,3,254,4.650989030489238,5.575730713285497,7.818260065338759,-1.851424663854323
borough_age,5,8,3,255,4.894570291596126,6.044287850928499,10.18732322665726,-1.605646842431097
borough_age,4,8,4,255,5.264689992079275,6.282136627154456,10.561380052585696,-3.0185406087429643
borough_age_activity,4,5,1,695,6.75648678500208,8.48247515556314,14.938367258823746,-4.686102017017348
borough_age_activity,5,6,1,704,5.774499903786888,7.519346510424409,12.336396753706824,0.6736499511445582
borough_age_activity,6,7,1,713,6.357305238361239,7.523637210176933,12.716545739563061,-3.3095820263046596
borough_age_activity,7,8,1,716,6.856450519261083,8.427441967927926,14.45223481319928,-3.4993296536877487
borough_age_activity,4,6,2,704,5.062386988130324,6.661775628874447,12.31366557982248,-1.2823755796443825
borough_age_activity,5,7,2,713,6.307415716771398,8.272703150942293,12.340155357345845,-0.60789128866755
borough_age_activity,6,8,2,716,7.0574367394452855,8.40740395510426,14.53927426037942,-4.143830479983432
borough_age_activity,4,7,3,713,6.288655068817706,7.586180112820127,12.680106428195803,-3.1439156627691838
borough_age_activity,5,8,3,716,6.750664189457013,8.754098617231637,13.990669838808204,-1.7860779754864176
borough_age_activity,4,8,4,716,6.990508360370133,8.408358461751185,14.599298456260918,-4.338147493635149
