series_id,LA_2023,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,activity_category,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_107__activity_0,107,0,inactive,0.0721439966526744,True,borough_activity,9,1,0.0721439966526744,0,6,107,inactive,Random Forest,0.06998978667068802,0.06998978667068802,False,observed_year8,6.998978667068802,-0.21542099819863852
borough_107__activity_1,107,1,fairly_active,0.0969335158495161,True,borough_activity,9,1,0.0969335158495161,0,6,107,fairly_active,Random Forest,0.07742392525134612,0.07742392525134612,False,observed_year8,7.742392525134612,-1.950959059816998
borough_107__activity_2,107,2,active,0.1351804709835486,True,borough_activity,9,1,0.1351804709835486,0,6,107,active,Random Forest,0.13679674147719892,0.13679674147719892,False,observed_year8,13.679674147719892,0.1616270493650318
borough_109__activity_0,109,0,inactive,0.0786560777835536,True,borough_activity,9,1,0.0786560777835536,0,6,109,inactive,Random Forest,0.06906080298484525,0.06906080298484525,False,observed_year8,6.906080298484525,-0.9595274798708351
borough_109__activity_1,109,1,fairly_active,0.0,True,borough_activity,9,1,0.0,0,6,109,fairly_active,Random Forest,0.08325071435033891,0.08325071435033891,False,observed_year8,8.325071435033891,8.325071435033891
borough_109__activity_2,109,2,active,0.1203866792576902,True,borough_activity,9,1,0.1203866792576902,0,6,109,active,Random Forest,0.13604372879040869,0.13604372879040869,False,observed_year8,13.604372879040868,1.5657049532718488
borough_112__activity_0,112,0,inactive,0.060659927886744,True,borough_activity,9,1,0.060659927886744,0,6,112,inactive,Random Forest,0.06989285780347307,0.06989285780347307,False,observed_year8,6.9892857803473065,0.9232929916729069
borough_112__activity_1,112,1,fairly_active,0.0,True,borough_activity,9,1,0.0,0,6,112,fairly_active,Random Forest,0.08325071435033891,0.08325071435033891,False,observed_year8,8.325071435033891,8.325071435033891
borough_112__activity_2,112,2,active,0.1208937799641938,True,borough_activity,9,1,0.1208937799641938,0,6,112,active,Random Forest,0.13604372879040869,0.13604372879040869,False,observed_year8,13.604372879040868,1.5149948826214885
borough_114__activity_0,114,0,inactive,0.0982536996798982,True,borough_activity,9,1,0.0982536996798982,0,6,114,inactive,Random Forest,0.06910848477215382,0.06910848477215382,False,observed_year8,6.910848477215382,-2.914521490774437
borough_114__activity_1,114,1,fairly_active,0.1252803565701054,True,borough_activity,9,1,0.1252803565701054,0,6,114,fairly_active,Random Forest,0.08254020877835301,0.08254020877835301,False,observed_year8,8.254020877835302,-4.274014779175237
borough_114__activity_2,114,2,active,0.1703358727121471,True,borough_activity,9,1,0.1703358727121471,0,6,114,active,Random Forest,0.13818283911364448,0.13818283911364448,False,observed_year8,13.818283911364448,-3.2153033598502607
borough_117__activity_0,117,0,inactive,0.0921114793433415,True,borough_activity,9,1,0.0921114793433415,0,6,117,inactive,Random Forest,0.06856778868089895,0.06856778868089895,False,observed_year8,6.856778868089895,-2.354369066244255
borough_117__activity_1,117,1,fairly_active,0.1829635956151865,True,borough_activity,9,1,0.1829635956151865,0,6,117,fairly_active,Random Forest,0.08287900134463323,0.08287900134463323,False,observed_year8,8.287900134463323,-10.008459427055326
borough_117__activity_2,117,2,active,0.211898334001755,True,borough_activity,9,1,0.211898334001755,0,6,117,active,Random Forest,0.13818283911364448,0.13818283911364448,False,observed_year8,13.818283911364448,-7.371549488811052
borough_122__activity_0,122,0,inactive,0.0866465698757752,True,borough_activity,9,1,0.0866465698757752,0,6,122,inactive,Random Forest,0.06851872539151477,0.06851872539151477,False,observed_year8,6.8518725391514765,-1.8127844484260427
borough_122__activity_1,122,1,fairly_active,0.0067851014848199,True,borough_activity,9,1,0.0067851014848199,0,6,122,fairly_active,Random Forest,0.08325071435033891,0.08325071435033891,False,observed_year8,8.325071435033891,7.646561286551902
borough_122__activity_2,122,2,active,0.1226736330189797,True,borough_activity,9,1,0.1226736330189797,0,6,122,active,Random Forest,0.13610353242392606,0.13610353242392606,False,observed_year8,13.610353242392605,1.3429899404946364
borough_126__activity_0,126,0,inactive,0.0453250249395577,True,borough_activity,9,1,0.0453250249395577,0,6,126,inactive,Random Forest,0.0679752279805545,0.0679752279805545,False,observed_year8,6.79752279805545,2.2650203040996795
borough_126__activity_1,126,1,fairly_active,0.0980862001366558,True,borough_activity,9,1,0.0980862001366558,0,6,126,fairly_active,Random Forest,0.07734540172575946,0.07734540172575946,False,observed_year8,7.734540172575946,-2.0740798410896337
borough_126__activity_2,126,2,active,0.1579040239399581,True,borough_activity,9,1,0.1579040239399581,0,6,126,active,Random Forest,0.1378529756629525,0.1378529756629525,False,observed_year8,13.785297566295249,-2.00510482770056
borough_129__activity_0,129,0,inactive,0.1885342723854947,True,borough_activity,9,1,0.1885342723854947,0,6,129,inactive,Random Forest,0.07431745543247588,0.07431745543247588,False,observed_year8,7.431745543247588,-11.421681695301881
borough_129__activity_1,129,1,fairly_active,0.1777950738282708,True,borough_activity,9,1,0.1777950738282708,0,6,129,fairly_active,Random Forest,0.08287900134463323,0.08287900134463323,False,observed_year8,8.287900134463323,-9.491607248363758
borough_129__activity_2,129,2,active,0.2154876944237875,True,borough_activity,9,1,0.2154876944237875,0,6,129,active,Random Forest,0.13818283911364448,0.13818283911364448,False,observed_year8,13.818283911364448,-7.730485531014303
borough_135__activity_0,135,0,inactive,0.0188494550372388,True,borough_activity,9,1,0.0188494550372388,0,6,135,inactive,Random Forest,0.0690660251978931,0.0690660251978931,False,observed_year8,6.90660251978931,5.02165701606543
borough_135__activity_1,135,1,fairly_active,0.0231054449071455,True,borough_activity,9,1,0.0231054449071455,0,6,135,fairly_active,Random Forest,0.08325071435033891,0.08325071435033891,False,observed_year8,8.325071435033891,6.014526944319341
borough_135__activity_2,135,2,active,0.1362501871697056,True,borough_activity,9,1,0.1362501871697056,0,6,135,active,Random Forest,0.13679674147719892,0.13679674147719892,False,observed_year8,13.679674147719892,0.054655430749331324
borough_136__activity_0,136,0,inactive,0.1599700401956616,True,borough_activity,9,1,0.1599700401956616,0,6,136,inactive,Random Forest,0.0741605194777803,0.0741605194777803,False,observed_year8,7.41605194777803,-8.580952071788131
