model,fit_weighting,phase,observations,mae,rmse,r2,mean_error,effective_n_weighted_mae,effective_n_weighted_rmse,clipped_predictions,clip_rate
Gradient Boosting,Unweighted fit,Year 7 validation,681,0.0773789476866546,0.12281295578321058,0.00783918193717692,-0.03174568389130506,0.06622381377861998,0.09458960110496949,0,0.0
Gradient Boosting,Unweighted fit,Year 8 independent test,685,0.08537746934426858,0.14258279816656427,-0.019268485206049624,-0.03581912886326676,0.06956097818885697,0.09772557216620861,0,0.0
Gradient Boosting,Square-root effective-n fit,Year 7 validation,681,0.07843713513886892,0.1220326916094561,0.02040607035505504,-0.02776238900479197,0.06612810131474728,0.09387873295472826,0,0.0
Gradient Boosting,Square-root effective-n fit,Year 8 independent test,685,0.08649673574700445,0.1409833262259179,0.003471244746243829,-0.028711250039322865,0.06874775761438004,0.095673424970421,0,0.0
