model,specification,phase,observations,mae,rmse,r2,mean_error,effective_n_weighted_mae,effective_n_weighted_rmse,clipped_predictions,clip_rate
Gradient Boosting,Core features,Year 7 validation,681,0.0773789476866546,0.12281295578321058,0.00783918193717692,-0.03174568389130506,0.06622381377861998,0.09458960110496949,0,0.0
Gradient Boosting,Core features,Year 8 independent test,685,0.08537746934426858,0.14258279816656427,-0.019268485206049624,-0.03581912886326676,0.06956097818885697,0.09772557216620861,0,0.0
Gradient Boosting,Core features plus COVID overlap,Year 7 validation,681,0.0773789476866546,0.12281295578321058,0.00783918193717692,-0.03174568389130506,0.06622381377861998,0.09458960110496949,0,0.0
Gradient Boosting,Core features plus COVID overlap,Year 8 independent test,685,0.08520838974438172,0.14325157196774627,-0.028852512248122686,-0.03835277468520883,0.06987560449213738,0.09857480017654015,0,0.0
