model,year,available_predictions,mean_rate,median_rate,std_rate,min_rate,max_rate,clipped_predictions
Gradient Boosting,9,768,0.07464649283443871,0.06909237834701104,0.033405944536349846,0.02877268754629147,0.1548435108324539,0
Gradient Boosting,10,768,0.08636006984416138,0.07571843941906126,0.025611693696984284,0.05286831133647191,0.15325977428728726,0
Gradient Boosting,11,768,0.08628559773399318,0.07571843941906126,0.025659249812921336,0.05286831133647191,0.15325977428728726,0
Gradient Boosting,12,768,0.08629339752844996,0.07571843941906126,0.02565239253046603,0.05286831133647191,0.15325977428728726,0
Gradient Boosting,13,768,0.08628559773399318,0.07571843941906126,0.025659249812921336,0.05286831133647191,0.15325977428728726,0
Gradient Boosting,14,768,0.08629339752844996,0.07571843941906126,0.02565239253046603,0.05286831133647191,0.15325977428728726,0
Naive baseline,9,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Naive baseline,10,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Naive baseline,11,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Naive baseline,12,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Naive baseline,13,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Naive baseline,14,716,0.10419748853681264,0.0614691860286814,0.14385143339604176,0.0,1.0,0
Random Forest,9,768,0.09618779480165811,0.08915166481303075,0.028596806834301536,0.047975139304754034,0.16924803683214748,0
Random Forest,10,768,0.10361556254336539,0.09669042307296341,0.023112802719374586,0.07126066621380461,0.16770816225820176,0
Random Forest,11,768,0.10368235153160289,0.0971128944755206,0.023090402750168153,0.07196815869985429,0.16772740745375714,0
Random Forest,12,768,0.1036854340345204,0.0971646548816415,0.023093608071141865,0.07196815869985429,0.16772740745375714,0
Random Forest,13,768,0.10368333045041071,0.09716465488164149,0.023094013386204582,0.07196815869985429,0.16772740745375714,0
Random Forest,14,768,0.10368470550577413,0.0971646548816415,0.023093740402437814,0.07196815869985429,0.16772740745375717,0
Ridge Regression,9,768,0.1003093625870391,0.0968564895255507,0.03932548161361842,0.016952194719316985,0.21946392943319665,0
Ridge Regression,10,768,0.10387784448600264,0.09931574083753875,0.0391442064644413,0.020059924975788457,0.21931741779320285,0
Ridge Regression,11,768,0.10738788859184774,0.10291347024112618,0.039143202425166765,0.02358381925679677,0.22293913444994007,0
Ridge Regression,12,768,0.11089968933531753,0.10642263516820169,0.039143226764300876,0.027095203664578606,0.226447578321186,0
Ridge Regression,13,768,0.11441143727433356,0.10993446233974864,0.03914322602738832,0.03060696411862806,0.22995942716764112,0
Ridge Regression,14,768,0.11792318680064927,0.11344620948433778,0.03914322604953509,0.034118713268742384,0.23347117366068337,0
