year,LA_2023,age_group_code,age_group,active_minus_inactive_pp,active_minus_inactive_lower_90_pp,active_minus_inactive_upper_90_pp,fairly_active_minus_inactive_pp,fairly_active_minus_inactive_lower_90_pp,fairly_active_minus_inactive_upper_90_pp
9,126,4,35-44,6.5006418372280095,-9.244169555604458,22.589126080274532,0.0,-20.27863122522831,29.40631389617918
9,126,5,45-54,6.786808251063717,-19.33742441236972,26.234878003597252,0.0,-30.36381542682648,27.017344385385478
9,126,6,55-64,7.024703080354862,-21.76666460931301,24.540187343955036,0.0,-28.408213853836056,39.774343669414506
9,126,7,65-74,8.502921522232212,-20.78903302550316,28.746676445007324,3.161897175351216,-28.824841231107712,37.58072361350053
9,126,8,75-84,5.4105776126571605,-36.67476296424865,38.29642936587332,1.8517080057949324,-45.31079277396202,40.54021909832954
9,126,9,85+,1.1770527629918468,-39.01051223278046,49.70947504043579,0.3396974331429138,-41.113004684448235,40.789569467306094
9,129,2,16-24,7.432520956979991,-15.505661591887474,27.77129530906677,-0.07947222997864434,-29.97260883450508,43.66307973861689
9,129,3,25-34,2.0136588429365068,-26.031692922115322,20.650844946503618,0.0,-32.708790153265,40.176920294761636
9,129,4,35-44,4.091079458209967,-10.835254341363907,21.55877999961376,-2.4095623790180416,-21.6159850358963,23.729117140173898
9,129,5,45-54,6.786808251063717,-10.263282433152197,23.626937642693516,0.0,-21.046077758073807,37.30853840708727
9,129,6,55-64,3.267094911527674,-21.550673693418503,23.43965925276279,0.0,-29.14579465985298,40.647871643304775
9,129,7,65-74,8.502921522232212,-17.45746865868568,26.322546750307076,0.752334796333174,-26.347517073154446,42.62952715158462
9,129,8,75-84,5.4105776126571605,-37.77257099747658,44.61540728807449,-0.5578543732231122,-43.971891552209854,41.62255868315696
9,129,9,85+,1.1020377285485758,-65.07801413536072,40.29410779476166,0.3396974331429138,-64.61480557918549,43.77429187297821
9,135,2,16-24,9.240436518881353,-28.51561263203621,29.508780837059017,-0.5723533812939954,-40.77469974756241,38.60959798097603
9,135,3,25-34,4.528991391396093,-24.446794390678406,24.031110107898712,2.300796713216715,-31.074173748493195,42.67686173319816
9,135,4,35-44,6.775405825545283,-17.729944139719006,25.141695141792297,0.0,-26.55770182609558,34.45004746317863
9,135,5,45-54,6.6780425852623875,-30.255805402994152,27.077866494655595,-2.4095623790180425,-42.514508813619614,40.974211245775194
9,135,6,55-64,7.024703080354863,-19.40300688147545,25.495251715183247,0.0,-30.373590290546414,33.81679534912095
9,135,7,65-74,8.39253133069683,-30.534957796335217,29.587826132774353,0.752334796333174,-39.97162044048309,49.6787428855896
9,135,8,75-84,3.160220311098377,-38.02987828850746,43.682561963796566,-0.5578543732231122,-40.38752406835556,45.78814327716827
9,135,9,85+,1.1020377285485758,-29.9526184797287,43.35108444094657,0.3396974331429138,-38.687337189912796,45.7195156812667
9,136,2,16-24,7.432520956979991,-40.70812836289405,28.03890183567997,-2.489034608996686,-56.491210460662835,38.16565975546835
9,136,3,25-34,2.4101280804071963,-24.246833100914955,21.768906787037842,0.0,-30.68768352270126,40.57207778096198
9,136,4,35-44,6.727153846648766,-19.574740305542946,26.470453739166256,2.4095623790180416,-24.87481638789177,32.1867349743843
9,136,5,45-54,6.786808251063717,-19.499685764312744,26.320027261972424,-2.4095623790180416,-30.281517058610913,31.351497322320892
9,136,6,55-64,3.267094911527674,-25.193899720907208,23.219021409749978,0.0,-32.25536569952965,41.82893574237821
9,136,7,65-74,6.392871250355464,-21.764940693974495,26.341854482889172,-1.3577154755435736,-31.655731350183487,40.613631904125185
9,136,8,75-84,3.0010152336391203,-39.93844121694565,35.02219289541244,-2.9674167522411516,-44.468630254268646,37.287993431091294
9,136,9,85+,1.1020377285485758,-42.83177226781845,47.05314844846713,0.3396974331429138,-42.96336263418197,41.36396333575249
9,139,2,16-24,7.432520956979991,-29.669287949800495,27.295491099357605,-2.489034608996686,-42.466319650411606,34.168676733970464
9,139,3,25-34,4.819690459425238,-28.75772356986999,25.742126554250707,0.0,-36.979729235172265,44.488118290901156
9,139,4,35-44,4.091079458209967,-20.112752169370648,22.984514459967595,-2.4095623790180416,-28.050695806741714,28.43996480107306
9,139,5,45-54,9.19637063008176,-19.92495059967041,28.21873068809509,2.4095623790180416,-30.979776531457897,36.101046204566956
9,139,6,55-64,5.676657290545715,-32.370542734861374,26.222903132438653,2.4095623790180416,-39.41767364740372,43.6769251525402
9,139,7,65-74,7.936712233071103,-30.27962163090705,28.655539304018017,3.161897175351216,-36.591756492853165,41.50068596005438
9,139,8,75-84,5.4105776126571605,-35.707719177007675,37.85558640956879,-0.5578543732231122,-42.24812254309654,43.13088729977606
9,139,9,85+,1.1020377285485758,-48.88555273413654,41.57438173890111,0.3396974331429138,-65.07535994052887,48.872122168540955
9,142,2,16-24,7.432520956979991,-23.1010103225708,26.89606621861458,-0.07947222997864434,-33.44561919569969,31.170038878917577
9,142,3,25-34,2.4101280804071963,-22.239481285214424,20.067989006638513,-2.4095623790180416,-31.051058918237683,37.344092279672616
9,142,4,35-44,6.727153846648766,-18.936155289411545,23.555077910423257,2.4095623790180416,-27.923238128423687,33.00023287534714
9,142,5,45-54,6.786808251063717,-22.07562834024429,26.229258477687832,-2.4095623790180416,-35.08750692009926,40.77168479561806
9,142,6,55-64,4.434999483212211,-47.94988572597504,24.174462109804136,0.0,-52.17305898666381,42.48624742031088
9,142,7,65-74,6.392871250355464,-28.063416630029675,27.722736597061154,-1.3577154755435736,-42.252928465604775,40.702762454748125
9,142,8,75-84,3.0010152336391203,-38.85673329234123,40.17303600907322,-2.9674167522411516,-43.01685154438019,39.1180127859115
9,142,9,85+,1.1770527629918468,-48.07312488555908,30.142685770988464,0.3396974331429138,-48.07803228497505,48.72873842716215
9,147,2,16-24,9.349202184682682,-32.392817586660385,41.25663101673119,1.8372089977240464,-40.12124389410019,47.396964132785776
9,147,3,25-34,2.4101280804071963,-26.981842815876007,20.299028679728508,0.0,-33.10242399573326,37.83653482794761
9,147,4,35-44,4.3175914676307245,-24.258984699845314,22.07940697669982,0.0,-30.48740833997726,27.318519502878182
9,147,5,45-54,9.19637063008176,-19.174897894263268,28.403850793838497,0.0,-32.17945769429207,44.63279291987412
9,147,6,55-64,4.61514070133682,-21.376154124736786,26.233828514814366,0.0,-31.967956870794296,39.304175078868845
9,147,7,65-74,6.392871250355464,-34.31944116950035,37.74374634027481,-1.3577154755435736,-43.22693094611168,37.361027300357804
9,147,8,75-84,3.1602203110983766,-35.77586352825165,41.57764643430709,-0.5578543732231122,-40.045454651117325,50.34566283226011
9,147,9,85+,1.1020377285485758,-62.81076937913894,40.7884348928928,0.3396974331429138,-64.51143741607666,48.872122168540955
9,160,2,16-24,9.349202184682682,-27.037653923034664,28.82029250264167,-0.5723533812939954,-41.36359542608261,26.814571917056995
9,160,3,25-34,4.528991391396092,-19.598560631275177,21.97359770536421,0.0,-29.15712520480156,37.369742840528474
9,160,4,35-44,6.5006418372280095,-18.185958564281464,24.818018153309808,2.4095623790180416,-28.560438156127926,42.81130015850066
9,160,5,45-54,6.786808251063717,-19.341122508049008,26.894818842411034,0.0,-30.905991792678833,35.590529441833496
9,160,6,55-64,4.61514070133682,-20.984951108694077,24.88328859210014,0.0,-29.839418232440945,41.90257012844082
9,160,7,65-74,8.502921522232212,-17.57540836930275,27.90927857160566,0.752334796333174,-30.620138496160504,43.86472597718236
9,160,8,75-84,3.0010152336391203,-33.017680048942566,34.38291609287261,-2.8737942365958635,-41.506244242191315,39.9853494763373
9,160,9,85+,1.1020377285485758,-48.96293118596075,45.70469290018076,0.3396974331429138,-51.444843411445596,39.70328092575072
9,171,2,16-24,7.432520956979991,-10.368986204266548,25.66543817520141,-2.489034608996686,-22.54616290330887,31.630171239376065
9,171,3,25-34,2.4101280804071963,-15.375494807958603,17.865934818983078,0.0,-20.453021824359894,26.251287460327134
9,171,4,35-44,4.091079458209967,-14.911347776651382,20.58630190789699,-2.4095623790180416,-22.451885491609573,27.6510027050972
9,171,5,45-54,9.19637063008176,-19.427143186330795,28.169660717248917,2.4095623790180416,-30.2320559322834,38.936236649751606
9,171,6,55-64,5.676657290545715,-20.397147685289383,34.361728280782664,0.0,-28.478945195674893,39.85408604145048
9,171,7,65-74,7.936712233071103,-31.44246488809585,46.276850998401606,0.752334796333174,-41.09807267785071,41.357963979244225
9,171,8,75-84,3.0010152336391203,-36.24115765094757,43.176265209913254,-2.8737942365958635,-41.3483689725399,46.36700332164756
9,171,9,85+,1.1770527629918468,-46.69097647070885,49.70947504043579,0.3396974331429138,-48.661136627197266,46.06484740972518
9,17,2,16-24,9.349202184682682,-38.47469374537468,39.74692374467849,-0.5723533812939954,-50.29953300952911,42.63795480132103
9,17,3,25-34,0.0005657013891546825,-26.821369975805283,21.167909204959866,-2.4095623790180416,-32.53927305340767,40.86999610066406
9,17,4,35-44,4.091079458209967,-13.126451224088667,20.99779658019542,0.0,-19.297604709863663,23.94147515296934
9,17,5,45-54,9.19637063008176,-23.753300160169598,27.29210451245308,0.0,-32.253339886665344,44.44744780659672
9,17,6,55-64,3.267094911527674,-21.747375279664993,22.74543821811676,-2.4095623790180416,-33.418453484773636,30.644740760326307
9,17,7,65-74,6.392871250355464,-21.00218176841736,26.08600229024886,-1.3577154755435736,-32.47745364904404,40.972170084714875
9,17,8,75-84,3.0010152336391203,-40.15503063797951,35.57277262210844,-0.5578543732231073,-44.42389473319054,39.29623141884801
9,17,9,85+,1.1020377285485758,-46.67651265859604,38.43399658799171,0.3396974331429138,-48.53242337703705,37.33393028378484
9,196,2,16-24,7.432520956979991,-21.310257017612454,28.35077077150344,-2.489034608996686,-34.337249994277954,37.25800797343253
9,196,3,25-34,4.819690459425238,-14.174006581306456,22.406953796744343,2.4095623790180416,-17.3571465164423,28.798127025365822
9,196,4,35-44,4.091079458209967,-13.31540271639824,20.581476837396615,0.0,-22.20441922545433,28.402152508497224
9,196,5,45-54,7.9125071413392645,-10.490700528025627,26.24306812882423,0.0,-20.848560631275177,34.68007147312153
9,196,6,55-64,5.676657290545715,-22.396344169974327,25.23715376853943,0.0,-31.739375144243244,41.720429509878116
9,196,7,65-74,8.502921522232212,-18.16241718828678,27.77168422937393,3.161897175351216,-27.246476709842682,43.173004239797535
9,196,8,75-84,3.1602203110983766,-47.96155393123626,43.756761997938156,-0.5578543732231122,-50.91375142335891,41.3991180062294
9,196,9,85+,1.1020377285485758,-38.664082288742065,39.64253738522528,0.3396974331429138,-38.94637733697891,48.735241740942
9,201,2,16-24,9.842083335998032,-27.41797372698783,41.53190985321998,-0.07947222997864503,-44.996683150529854,48.20622339844702
9,201,3,25-34,4.42322122195455,-29.874400794506073,24.661656245589246,0.0,-39.76831987500191,40.22291481494902
9,201,4,35-44,6.7271538466487675,-18.910038992762562,23.813403397798538,0.0,-32.290881872177124,37.58232593536377
9,201,5,45-54,9.19637063008176,-24.96252901852131,27.603107094764706,2.4095623790180425,-38.8780252635479,38.942989408969865
9,201,6,55-64,3.267094911527674,-40.15788406133651,23.440672308206516,0.0,-48.18585902452469,42.852328270673645
9,201,7,65-74,6.392871250355461,-20.48515602946281,29.646816700696927,1.0518469034744682,-31.54476284980774,40.886811763048094
9,201,8,75-84,3.0010152336391203,-40.815673023462296,24.735863506793976,-3.2095570521051178,-48.937149196863174,32.39027485251425
9,201,9,85+,1.1020377285485736,-41.243995279073715,42.71021395921706,-2.06986494587513,-42.65935078263282,62.34191447496414
9,241,2,16-24,7.432520956979991,-21.571030989289284,28.126731067895882,-0.07947222997864434,-31.410318613052368,36.9952629506588
9,241,3,25-34,2.4101280804071963,-22.26821735501289,20.504018664360046,-2.4095623790180416,-33.27217862010002,37.23605975508689
9,241,4,35-44,6.5006418372280095,-19.796622917056084,25.519714504480362,0.0,-30.598877370357513,38.630864769220295
9,241,5,45-54,6.786808251063717,-18.078504651784893,27.810045480728142,-2.4095623790180416,-29.949445575475693,34.7372502088546
9,241,6,55-64,3.267094911527674,-22.215464860200882,25.584990382194512,-2.4095623790180416,-31.874095350503918,39.79162409901619
9,241,7,65-74,8.502921522232212,-26.623352766036984,30.201457589864706,0.752334796333174,-38.050462007522576,47.54016324877727
9,241,8,75-84,5.4105776126571605,-29.85952764749527,45.77826082706439,-0.4642318575778237,-39.831243455410004,49.285264611244
9,241,9,85+,1.1770527629918468,-46.27426430583,49.70947504043579,0.3396974331429138,-46.43626809120178,29.30532991886139
9,255,2,16-24,9.349202184682682,-29.466948360204697,30.18430128693578,-0.5723533812939954,-41.90761983394623,43.32036256790154
9,255,3,25-34,2.0136588429365068,-24.45696324110031,22.22776278853416,0.0,-30.666583329439163,36.4795780181884
9,255,4,35-44,6.775405825545283,-10.911205969750881,22.321308255195614,2.4095623790180416,-16.70131415128708,33.697980493307064
9,255,5,45-54,6.786808251063717,-18.685425743460655,25.62951743602752,-2.4095623790180416,-33.042301535606384,39.82251167297362
9,255,6,55-64,7.024703080354862,-22.565768659114838,25.34608736634254,0.0,-30.68392649292946,37.36035257577895
9,255,7,65-74,8.502921522232212,-19.592254906892776,26.627132147550565,3.161897175351216,-29.333391785621643,44.97039481997487
9,255,8,75-84,5.4105776126571605,-38.85913148522376,36.47886380553243,-0.5578543732231122,-40.81861570477486,39.566922187805176
9,255,9,85+,1.1770527629918468,-44.330336749553666,54.395920038223025,0.3396974331429138,-45.78245997428894,48.872122168540955
9,272,2,16-24,6.957271466778184,-22.528245002031326,25.772769302129735,-2.489034608996685,-35.605957955121994,46.146263480186455
9,272,3,25-34,4.148472208178782,-12.873833402991295,20.663473755121228,0.0,-19.792626053094864,27.99221113324164
9,272,4,35-44,4.091079458209967,-13.239922970533371,19.55531626939773,-2.0470975166491048,-22.488133683800697,27.665455490350716
9,272,5,45-54,8.833905767712821,-19.909757673740387,28.437314033508287,0.0,-30.6630165874958,44.939947873353944
9,272,6,55-64,6.662238217985925,-34.36708405613899,37.02508866786957,0.0,-40.973081439733505,40.60806423425674
9,272,7,65-74,8.140456659863268,-32.51714125275612,46.35707274079319,0.752334796333174,-42.35940292477608,40.16169250011444
9,272,8,75-84,3.0468646339414907,-41.00089818239211,44.50190290808675,-0.5578543732231122,-46.226205080747604,39.37556982040404
9,272,9,85+,1.1020377285485747,-38.432829678058624,40.999001264572144,0.4195148149840771,-38.94749715924263,48.177676349878304
9,279,2,16-24,7.432520956979991,-17.975679337978363,28.609975576400753,-2.489034608996686,-33.25379624962807,39.37287241220469
9,279,3,25-34,2.4101280804071963,-25.178615599870678,20.397309735417366,-2.4095623790180416,-32.97171160578728,25.31699672341345
9,279,4,35-44,6.727153846648766,-7.915262207388878,24.39323380589484,0.0,-18.07862751185894,29.12324666976927
9,279,5,45-54,6.786808251063717,-21.434443593025208,26.097825318574902,0.0,-33.5186268389225,38.67867797613138
9,279,6,55-64,7.024703080354862,-17.77141451835632,27.17713713645935,0.0,-31.26235380768776,31.08929902315138
9,279,7,65-74,6.0933591432141725,-36.35457709431648,38.553752452135065,-1.6572275826848657,-45.539125800132744,40.581218749284645
9,279,8,75-84,3.0010152336391203,-27.912078499793996,44.669524282217,-0.5578543732231073,-35.95998674631119,36.00045874714838
9,279,9,85+,1.1020377285485758,-39.92020025849342,46.91051542758942,0.3396974331429138,-40.43404459953308,48.22500988841053
9,280,2,16-24,9.349202184682682,-32.693473398685455,30.519429296255097,-0.5723533812939954,-42.336256355047226,38.281367719173424
9,280,3,25-34,4.423221221954549,-20.273570865392685,23.531467393040653,2.4095623790180416,-25.21756544709205,31.378272026777264
9,280,4,35-44,4.3175914676307245,-21.16457387804985,22.783194631338098,0.0,-28.481645733118054,39.85471278429031
9,280,5,45-54,6.786808251063717,-32.92598560452461,27.486969679594015,-2.4095623790180416,-42.238878309726715,39.63796809315681
9,280,6,55-64,7.024703080354862,-30.169741213321682,28.093616068363183,2.4095623790180416,-35.95425844192505,45.10801404714579
9,280,7,65-74,8.502921522232212,-24.062058478593826,28.48328083753585,0.752334796333174,-29.389729648828506,47.16623798012732
9,280,8,75-84,3.1602203110983766,-38.71385514736175,44.53625977039337,-0.5578543732231122,-46.440027952194214,37.85476744174957
9,280,9,85+,1.1770527629918468,-47.96392321586609,30.142685770988464,0.3396974331429138,-47.928354144096375,45.65738528966903
9,293,2,16-24,9.167363328025084,-16.696520298719403,27.961838394403454,1.6553701410664505,-28.38909491896629,41.63533389568327
9,293,3,25-34,4.819690459425237,-21.462990865111347,23.1477752327919,0.0,-26.331479400396347,29.73222061991691
9,293,4,35-44,7.041703818381902,-21.080668419599533,28.27112451195715,0.0,-29.227526783943176,37.74622127413749
9,293,5,45-54,10.322069520357303,-29.559357911348343,29.772430658340454,0.0,-38.38474854826927,41.92917346954346
9,293,6,55-64,4.434999483212209,-20.037991255521774,23.073872923851013,0.0,-30.611907541751858,43.65392416715622
9,293,7,65-74,5.826661961194349,-23.72176855802536,25.979269146919222,-1.3577154755435776,-33.33196043968201,39.79695096611976
9,293,8,75-84,5.410577612657159,-27.58246228098869,48.633903861045816,-0.4642318575778237,-33.31307113170624,33.26800510287271
9,293,9,85+,3.6075113809367587,-38.22324648499488,42.62047797441479,0.3396974331429138,-42.17058330774306,48.08586239814758
9,30,2,16-24,7.432520956979991,-20.19332081079483,26.83900117874145,-0.07947222997864434,-31.156635880470272,40.63514456152913
9,30,3,25-34,2.4101280804071963,-15.458110794425009,19.95208539068698,0.0,-18.89171153306961,23.64554949104783
9,30,4,35-44,6.775405825545283,-10.777431912720202,24.69949401915073,2.4095623790180416,-16.3764338940382,28.081728518009168
9,30,5,45-54,10.322069520357307,-6.6707057505846015,29.917602241039255,2.4095623790180416,-17.539803683757782,38.46520051360128
9,30,6,55-64,3.267094911527674,-26.707571744918823,22.401199564337716,-2.4095623790180416,-34.93138253688812,40.38474649190899
9,30,7,65-74,8.502921522232212,-19.862932488322258,27.24523931741715,0.752334796333174,-30.831177979707718,40.80446273088454
9,30,8,75-84,3.1602203110983766,-46.089959144592285,44.98802095651623,-0.5578543732231122,-49.465128779411316,46.62529379129397
9,30,9,85+,1.1020377285485758,-41.0295844078064,50.09099990129461,0.3396974331429138,-42.843383848667145,40.8120413124561
9,35,2,16-24,9.443746938748102,-28.05911272764206,41.232923716306686,1.9317537517894667,-33.325159251689904,44.21308055520058
9,35,3,25-34,2.0136588429365068,-44.014988392591476,23.422683626413335,0.0,-51.62155568599701,45.06643906235693
9,35,4,35-44,4.091079458209967,-22.122302874922752,22.295470386743542,0.0,-27.24503383040428,24.791772812604883
9,35,5,45-54,6.786808251063717,-23.49650919437408,25.629426985979077,-2.4095623790180425,-35.16805171966553,29.69222247600553
9,35,6,55-64,7.024703080354863,-21.917215436697006,25.169132947921717,0.0,-33.135985285043716,42.019274383783284
9,35,7,65-74,6.392871250355464,-21.348220258951187,26.97547748684881,-1.3577154755435743,-31.426646709442135,38.60885471105575
9,35,8,75-84,5.4105776126571605,-45.18648445606232,25.269764959812154,1.851708005794933,-51.70255362987518,44.19437512755387
9,35,9,85+,1.1020377285485758,-31.990490406751633,44.19785723090168,0.3396974331429138,-48.62696826457977,64.76422250270839
9,44,2,16-24,7.432520956979991,-19.357755631208416,28.80184605717654,-2.489034608996686,-33.406203240156174,36.569581031799245
9,44,3,25-34,2.4101280804071963,-23.329848274588585,20.45114539563655,-2.4095623790180416,-31.59612685441971,24.20479126274585
9,44,4,35-44,4.091079458209967,-25.572705566883087,22.606333717703762,0.0,-31.248298138380047,41.667909026145864
9,44,5,45-54,9.19637063008176,-16.32738314568996,29.09475475549697,2.4095623790180416,-27.313872575759884,32.09126353263833
9,44,6,55-64,7.024703080354862,-18.819580525159836,25.158721357583993,0.0,-30.70342719554901,36.87850862741469
9,44,7,65-74,5.826661961194354,-41.745119839906685,26.528377383947365,-1.3577154755435736,-49.46536958217621,39.00183230638503
9,44,8,75-84,3.1602203110983766,-36.393651217222214,34.37942698597907,-0.5578543732231122,-41.980280727148056,41.67952045798295
9,44,9,85+,3.511600107566617,-35.765695720911026,42.726394683122614,0.3396974331429138,-39.646556973457336,39.98711213469505
9,68,2,16-24,7.432520956979991,-18.20550337433815,27.9477712512016,-2.489034608996686,-33.7739223241806,42.25664004683489
9,68,3,25-34,4.423221221954549,-24.376692846417427,23.543281108140942,0.0,-32.46380239725113,37.921878248453126
9,68,4,35-44,4.091079458209967,-13.957571685314177,21.16392083466049,0.0,-18.872672617435455,27.489266991615274
9,68,5,45-54,9.19637063008176,-16.952308788895607,26.714843064546557,0.0,-30.96007794141769,32.78686895966523
9,68,6,55-64,3.267094911527674,-31.970239728689194,23.492783308029175,-2.4095623790180416,-43.88138175010681,37.490543723106384
9,68,7,65-74,6.392871250355464,-19.363639652729034,26.658749133348454,1.0518469034744682,-28.60796064138412,46.6233591735363
9,68,8,75-84,3.0010152336391203,-34.42608773708343,46.24836102128026,-2.9674167522411516,-39.11580711603165,36.20843723416326
9,68,9,85+,1.1770527629918468,-41.11901521682739,30.142685770988464,0.3396974331429138,-41.626900881528854,48.921944350004146
9,78,2,16-24,7.432520956979991,-18.039144575595856,27.2955885529518,-2.489034608996686,-34.442896097898476,42.555352598428705
9,78,3,25-34,2.1194290123780504,-25.636359453201297,20.42939223349094,-2.4095623790180416,-31.378201991319653,38.23878422379494
