year,median_cross_model_range_pp,q90_cross_model_range_pp,max_cross_model_range_pp
9,2.8793940283183774,6.148673590298472,10.27521314811041
10,2.73245982772682,5.0749601838582175,8.982795574371364
11,2.810883786999197,5.351150256086122,9.330194323461342
12,2.9533813394500537,5.6939595549002995,9.681482783842519
13,3.172309499272223,6.045132241729135,10.03265431966445
14,3.304739504493036,6.396307257699226,10.38382937023376
