year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,boroughs,equal_borough_mean_rate,borough_median_rate,borough_q25_rate,borough_q75_rate,median_interval_width_pp
9,2,16-24,0,inactive,32,0.06827741738466654,0.0765131617188477,0.05734634944182079,0.0765131617188477,39.28699238225817
9,2,16-24,1,fairly_active,32,0.05927401263751551,0.05162281562888084,0.05162281562888084,0.07571843941906126,46.887890025973206
9,2,16-24,2,active,32,0.14973442277482654,0.1508383712886476,0.1508383712886476,0.1508383712886476,24.514766633510586
9,3,25-34,0,inactive,32,0.06605090682850376,0.07571843941906126,0.05162281562888084,0.07571843941906126,34.325456507503986
9,3,25-34,1,fairly_active,32,0.059240023366952596,0.05162281562888084,0.05162281562888084,0.07571843941906126,42.82305955886825
9,3,25-34,2,active,32,0.0958844051417021,0.09691272954284176,0.09585502784842632,0.09981972022313322,23.624995015561566
9,4,35-44,0,inactive,32,0.06564786645068324,0.07528782911531637,0.05162281562888084,0.07571843941906126,32.38909204490482
9,4,35-44,1,fairly_active,32,0.06228596561128806,0.05283351712820067,0.05162281562888084,0.07571843941906126,35.678701780270785
9,4,35-44,2,active,32,0.11684506432485794,0.11662923400116093,0.11662923400116093,0.1188943540953685,23.070584796369076
9,5,45-54,0,inactive,32,0.0630389538547312,0.06263637267822271,0.05162281562888084,0.07571843941906126,35.240887105464935
9,5,45-54,1,fairly_active,32,0.061532977367844924,0.05162281562888084,0.05162281562888084,0.07571843941906126,44.110881350934505
9,5,45-54,2,active,32,0.14360007446569253,0.14358652192969842,0.14358652192969842,0.14358652192969842,23.92356958240268
9,6,55-64,0,inactive,32,0.060490219016071566,0.05162281562888084,0.05162281562888084,0.07571843941906126,34.988267198204994
9,6,55-64,1,fairly_active,32,0.05852102439407237,0.05162281562888084,0.05162281562888084,0.07571843941906126,44.367978535592556
9,6,55-64,2,active,32,0.11374013161605528,0.11179614770774854,0.108389388534338,0.12186984643242946,23.91046421602367
9,7,65-74,0,inactive,32,0.05298005653621499,0.0440994676655491,0.0440994676655491,0.06519997038431657,36.368016201304265
9,7,65-74,1,fairly_active,32,0.05852102439407237,0.05162281562888084,0.05162281562888084,0.07571843941906126,44.411068744957404
9,7,65-74,2,active,32,0.1265987220510615,0.12912868288787122,0.12605826502162373,0.12912868288787122,24.56625098362565
9,8,75-84,0,inactive,32,0.05189496332202217,0.044996754556830644,0.044996754556830644,0.06909237834701104,45.7233846094459
9,8,75-84,1,fairly_active,32,0.04259283767342449,0.03941821082459952,0.03941821082459952,0.039652267113712746,44.914042949676514
9,8,75-84,2,active,32,0.09061993428621719,0.09910253068340225,0.07659895766781441,0.09910253068340225,42.75221205316483
9,9,85+,0,inactive,32,0.03635013593022534,0.03566969707911501,0.03566969707911501,0.03566969707911501,45.95856189727774
9,9,85+,1,fairly_active,32,0.03845994067312967,0.03906667141054415,0.03906667141054415,0.03906667141054415,48.872122168540955
9,9,85+,2,active,32,0.049334747924696866,0.04669007436460077,0.04669007436460077,0.04744022470903348,46.04995995759964
10,2,16-24,0,inactive,32,0.07590876745666791,0.0765131617188477,0.0765131617188477,0.0765131617188477,39.38260056078431
10,2,16-24,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,45.162622183561304
10,2,16-24,2,active,32,0.14962115250533625,0.1508383712886476,0.1508383712886476,0.1508383712886476,24.401468671858304
10,3,25-34,0,inactive,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,34.90579351782798
10,3,25-34,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,43.17953733785541
10,3,25-34,2,active,32,0.09892568764824852,0.09981972022313322,0.09981972022313322,0.09981972022313322,22.745827897451807
10,4,35-44,0,inactive,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,33.45087253954259
10,4,35-44,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,36.5045787533745
10,4,35-44,2,active,32,0.11795793691447475,0.1188943540953685,0.1188943540953685,0.1188943540953685,23.112329654395573
10,5,45-54,0,inactive,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,34.985280267865164
10,5,45-54,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,46.51268154382697
10,5,45-54,2,active,32,0.1425447317560592,0.14358652192969842,0.14358652192969842,0.14358652192969842,24.074678849428892
10,6,55-64,0,inactive,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,35.63139736652374
10,6,55-64,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,44.21262696385379
10,6,55-64,2,active,32,0.1208351323853691,0.12186984643242946,0.12186984643242946,0.12186984643242946,24.396683834493153
10,7,65-74,0,inactive,32,0.06634664985122815,0.06605561188043352,0.06519997038431657,0.0681950914557295,35.704660788178415
10,7,65-74,1,fairly_active,32,0.07508676574982141,0.07571843941906126,0.07571843941906126,0.07571843941906126,46.81247170039562
10,7,65-74,2,active,32,0.12802548263539312,0.12912868288787122,0.12912868288787122,0.12912868288787122,24.712066026404496
10,8,75-84,0,inactive,32,0.0684607046777712,0.06909237834701104,0.06909237834701104,0.06909237834701104,44.180867373943286
10,8,75-84,1,fairly_active,32,0.06280649210183263,0.06351383461477997,0.06351383461477997,0.06351383461477997,43.62301260232921
10,8,75-84,2,active,32,0.0983721662656483,0.09910253068340225,0.09910253068340225,0.09910253068340225,44.12926882505417
10,9,85+,0,inactive,32,0.05922955334184972,0.05976532086929545,0.05976532086929545,0.05976532086929545,43.34268927574154
10,9,85+,1,fairly_active,32,0.06255556446331009,0.06316229520072457,0.06316229520072457,0.06316229520072457,41.48472666740417
10,9,85+,2,active,32,0.07018399675846951,0.07078569815478118,0.07078569815478118,0.07078569815478118,43.293669149279594
