series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,model
borough_107__age_9__activity_0,107,9,85+,0,inactive,0.0,2,1.4699882828557889,1.0,True,below_5,9,1,0.0,0,6,107,85+__inactive,0.08214653987138056,0.08214653987138056,False,observed_year8,Ridge Regression
borough_107__age_9__activity_1,107,9,85+,1,fairly_active,,1,1.0,1.0,False,below_5,9,1,,1,6,107,85+__fairly_active,0.05182801759029788,0.05182801759029788,False,missing_year8,Ridge Regression
borough_107__age_9__activity_2,107,9,85+,2,active,0.0,3,1.0,1.0,True,below_5,9,1,0.0,0,6,107,85+__active,0.09881500060986301,0.09881500060986301,False,observed_year8,Ridge Regression
borough_109__age_2__activity_0,109,2,16-24,0,inactive,0.1795728558406329,6,4.634862491271137,1.0,True,below_5,9,1,0.1795728558406329,0,6,109,16-24__inactive,0.0821214327929219,0.0821214327929219,False,observed_year8,Ridge Regression
borough_109__age_2__activity_1,109,2,16-24,1,fairly_active,0.0,6,2.0927876898428672,1.0,True,below_5,9,1,0.0,0,6,109,16-24__fairly_active,0.09025381767278416,0.09025381767278416,False,observed_year8,Ridge Regression
borough_109__age_2__activity_2,109,2,16-24,2,active,0.1353026777146287,6,12.17155520836288,0.8333333333333334,True,10_to_below_30,9,1,0.1353026777146287,0,6,109,16-24__active,0.15017304400593356,0.15017304400593356,False,observed_year8,Ridge Regression
borough_109__age_3__activity_0,109,3,25-34,0,inactive,0.0735074011220812,6,6.90558070098122,1.0,True,5_to_below_10,9,1,0.0735074011220812,0,6,109,25-34__inactive,0.03704134950373936,0.03704134950373936,False,observed_year8,Ridge Regression
borough_109__age_3__activity_1,109,3,25-34,1,fairly_active,0.0,6,4.688101273320767,1.0,True,below_5,9,1,0.0,0,6,109,25-34__fairly_active,0.05769618816322818,0.05769618816322818,False,observed_year8,Ridge Regression
borough_109__age_3__activity_2,109,3,25-34,2,active,0.1081327569552019,6,48.16436981669938,0.0,True,30_or_above,9,1,0.1081327569552019,0,6,109,25-34__active,0.0886035464073625,0.0886035464073625,False,observed_year8,Ridge Regression
borough_109__age_4__activity_0,109,4,35-44,0,inactive,0.1112420350026497,6,8.729154064686664,1.0,True,5_to_below_10,9,1,0.1112420350026497,0,6,109,35-44__inactive,0.04303085920168745,0.04303085920168745,False,observed_year8,Ridge Regression
borough_109__age_4__activity_1,109,4,35-44,1,fairly_active,0.0,6,4.8380992286297495,1.0,True,below_5,9,1,0.0,0,6,109,35-44__fairly_active,0.05911845415207003,0.05911845415207003,False,observed_year8,Ridge Regression
