residual_reliability_band,residual_lag_missing,observations,mean_residual,median_residual,q05_residual,q95_residual
10_to_below_30,False,385,0.03588750925601596,0.025799141269892092,-0.0665861251217643,0.17653695350612245
30_or_above,False,148,0.0440071786539763,0.0318766757002571,-0.04710345639979571,0.16355030067902138
5_to_below_10,False,369,0.03520947714255772,-0.018715949687953704,-0.0665861251217643,0.2801386594623729
5_to_below_10,True,2,0.282593755146787,0.282593755146787,0.1566147740372896,0.40857273625628426
below_5,False,464,0.02765703325723727,-0.0418111179212642,-0.0665861251217643,0.3900904106147008
below_5,True,61,0.013907154258981036,-0.0385408564053508,-0.0471545873028904,0.44965453672646966
