year,age_group_code,age_group,boroughs,median_active_minus_inactive_pp,q25_active_minus_inactive_pp,q75_active_minus_inactive_pp,median_fairly_active_minus_inactive_pp,q25_fairly_active_minus_inactive_pp,q75_fairly_active_minus_inactive_pp
9,2,16-24,32,7.432520956979991,7.432520956979991,9.349202184682682,-0.5723533812939954,-2.489034608996686,-0.07947222997864434
9,3,25-34,32,2.4101280804071963,2.0929864700176646,4.423221221954549,0.0,-2.4095623790180416,0.0
9,4,35-44,32,4.3175914676307245,4.091079458209967,6.727153846648766,0.0,-2.137713732241339,0.0
9,5,45-54,32,8.090806712382156,6.786808251063717,9.19637063008176,0.0,-2.4095623790180416,0.6023905947545104
9,6,55-64,32,5.676657290545715,3.267094911527674,7.024703080354862,0.0,-0.37057450809033327,0.0
9,7,65-74,32,7.936712233071103,6.392871250355464,8.502921522232212,0.752334796333174,-1.3577154755435736,1.0518469034744682
9,8,75-84,32,3.1602203110983766,3.0010152336391203,5.4105776126571605,-0.5578543732231122,-1.1368393390663,-0.5578543732231122
9,9,85+,32,1.1020377285485758,1.1020377285485758,1.1770527629918468,0.3396974331429138,0.3396974331429138,0.3396974331429138
10,2,16-24,32,7.432520956979991,7.432520956979991,7.432520956979991,-0.07947222997864434,-0.07947222997864434,-0.07947222997864434
10,3,25-34,32,2.4101280804071963,2.4101280804071963,2.4101280804071963,0.0,0.0,0.0
10,4,35-44,32,4.3175914676307245,4.3175914676307245,4.3175914676307245,0.0,0.0,0.0
10,5,45-54,32,6.786808251063717,6.786808251063717,6.786808251063717,0.0,0.0,0.0
10,6,55-64,32,4.61514070133682,4.61514070133682,4.61514070133682,0.0,0.0,0.0
10,7,65-74,32,6.0933591432141725,6.0933591432141725,6.392871250355464,0.7523347963331761,0.7523347963331761,1.0518469034744682
10,8,75-84,32,3.0010152336391203,3.0010152336391203,3.0010152336391203,-0.5578543732231073,-0.5578543732231073,-0.5578543732231073
10,9,85+,32,1.102037728548573,1.102037728548573,1.102037728548573,0.33969743314291173,0.33969743314291173,0.33969743314291173
11,2,16-24,32,7.432520956979991,7.432520956979991,7.432520956979991,-0.07947222997864434,-0.07947222997864434,-0.07947222997864434
11,3,25-34,32,2.4101280804071963,2.4101280804071963,2.4101280804071963,0.0,0.0,0.0
11,4,35-44,32,4.3175914676307245,4.3175914676307245,4.3175914676307245,0.0,0.0,0.0
11,5,45-54,32,6.786808251063717,6.786808251063717,6.786808251063717,0.0,0.0,0.0
11,6,55-64,32,4.61514070133682,4.61514070133682,4.61514070133682,0.0,0.0,0.0
11,7,65-74,32,6.392871250355464,6.392871250355464,6.392871250355464,1.0518469034744682,1.0518469034744682,1.0518469034744682
11,8,75-84,32,3.0010152336391203,3.0010152336391203,3.0010152336391203,-0.5578543732231073,-0.5578543732231073,-0.5578543732231073
11,9,85+,32,1.102037728548573,1.102037728548573,1.102037728548573,0.33969743314291173,0.33969743314291173,0.33969743314291173
12,2,16-24,32,7.432520956979991,7.432520956979991,7.432520956979991,-0.07947222997864434,-0.07947222997864434,-0.07947222997864434
12,3,25-34,32,2.4101280804071963,2.4101280804071963,2.4101280804071963,0.0,0.0,0.0
12,4,35-44,32,4.3175914676307245,4.3175914676307245,4.3175914676307245,0.0,0.0,0.0
12,5,45-54,32,6.786808251063717,6.786808251063717,6.786808251063717,0.0,0.0,0.0
12,6,55-64,32,4.61514070133682,4.61514070133682,4.61514070133682,0.0,0.0,0.0
12,7,65-74,32,6.392871250355464,6.392871250355464,6.392871250355464,1.0518469034744682,1.0518469034744682,1.0518469034744682
12,8,75-84,32,3.0010152336391203,3.0010152336391203,3.0010152336391203,-0.5578543732231073,-0.5578543732231073,-0.5578543732231073
12,9,85+,32,1.102037728548573,1.102037728548573,1.102037728548573,0.33969743314291173,0.33969743314291173,0.33969743314291173
13,2,16-24,32,7.432520956979991,7.432520956979991,7.432520956979991,-0.07947222997864434,-0.07947222997864434,-0.07947222997864434
13,3,25-34,32,2.4101280804071963,2.4101280804071963,2.4101280804071963,0.0,0.0,0.0
13,4,35-44,32,4.3175914676307245,4.3175914676307245,4.3175914676307245,0.0,0.0,0.0
13,5,45-54,32,6.786808251063717,6.786808251063717,6.786808251063717,0.0,0.0,0.0
13,6,55-64,32,4.61514070133682,4.61514070133682,4.61514070133682,0.0,0.0,0.0
13,7,65-74,32,6.392871250355464,6.392871250355464,6.392871250355464,1.0518469034744682,1.0518469034744682,1.0518469034744682
13,8,75-84,32,3.0010152336391203,3.0010152336391203,3.0010152336391203,-0.5578543732231073,-0.5578543732231073,-0.5578543732231073
13,9,85+,32,1.102037728548573,1.102037728548573,1.102037728548573,0.33969743314291173,0.33969743314291173,0.33969743314291173
14,2,16-24,32,7.432520956979991,7.432520956979991,7.432520956979991,-0.07947222997864434,-0.07947222997864434,-0.07947222997864434
14,3,25-34,32,2.4101280804071963,2.4101280804071963,2.4101280804071963,0.0,0.0,0.0
14,4,35-44,32,4.3175914676307245,4.3175914676307245,4.3175914676307245,0.0,0.0,0.0
14,5,45-54,32,6.786808251063717,6.786808251063717,6.786808251063717,0.0,0.0,0.0
14,6,55-64,32,4.61514070133682,4.61514070133682,4.61514070133682,0.0,0.0,0.0
14,7,65-74,32,6.392871250355464,6.392871250355464,6.392871250355464,1.0518469034744682,1.0518469034744682,1.0518469034744682
14,8,75-84,32,3.0010152336391203,3.0010152336391203,3.0010152336391203,-0.5578543732231073,-0.5578543732231073,-0.5578543732231073
14,9,85+,32,1.102037728548573,1.102037728548573,1.102037728548573,0.33969743314291173,0.33969743314291173,0.33969743314291173
