series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp,lower_90,upper_90,interval_width_pp
borough_107__age_2__activity_0,107,2,16-24,0,inactive,0.067720843760348,5,6.415869528299125,1.0,True,5_to_below_10,9,1,0.067720843760348,0,6,107,16-24__inactive,0.0765131617188477,0.0765131617188477,False,observed_year8,7.65131617188477,0.8792317958499705,0.009927036240696907,0.37388073652982706,36.395370028913014
borough_107__age_2__activity_1,107,2,16-24,1,fairly_active,0.1477422943129205,6,1.7184249889604997,1.0,True,below_5,9,1,0.1477422943129205,0,6,107,16-24__fairly_active,0.07571843941906126,0.07571843941906126,False,observed_year8,7.571843941906126,-7.202385489385923,0.00913231447339058,0.5514725565910334,54.234024211764286
borough_107__age_2__activity_2,107,2,16-24,2,active,0.2780604443526274,6,10.041347698173553,0.8333333333333334,True,10_to_below_30,9,1,0.2780604443526274,0,6,107,16-24__active,0.1508383712886476,0.1508383712886476,False,observed_year8,15.08383712886476,-12.722207306397978,0.08214251548051836,0.33058415353298176,24.84416380524634
borough_107__age_3__activity_0,107,3,25-34,0,inactive,0.0820918376561594,6,9.81974682610082,0.8333333333333334,True,5_to_below_10,9,1,0.0820918376561594,0,6,107,25-34__inactive,0.07571843941906126,0.07571843941906126,False,observed_year8,7.571843941906126,-0.6373398237098149,0.012225084006786346,0.37308599948883053,36.08609154820442
borough_107__age_3__activity_1,107,3,25-34,1,fairly_active,0.0239370145665547,6,8.212266249996336,1.0,True,5_to_below_10,9,1,0.0239370145665547,0,6,107,25-34__fairly_active,0.05162281562888084,0.05162281562888084,False,observed_year8,5.162281562888084,2.768580106232614,0.0,0.3527618363499639,35.276183634996386
borough_107__age_3__activity_2,107,3,25-34,2,active,0.0645638836940231,6,39.43558070600658,0.3333333333333333,True,30_or_above,9,1,0.0645638836940231,0,6,107,25-34__active,0.09981972022313322,0.09981972022313322,False,observed_year8,9.981972022313322,3.5255836529110116,0.057261284440755844,0.24736805260181427,19.010676816105843
borough_107__age_4__activity_0,107,4,35-44,0,inactive,0.0583042673181279,6,13.71695536250258,0.8333333333333334,True,10_to_below_30,9,1,0.0583042673181279,0,6,107,35-44__inactive,0.07571843941906126,0.07571843941906126,False,observed_year8,7.571843941906126,1.7414172100933358,0.006736087147146463,0.24328685551881774,23.655076837167126
borough_107__age_4__activity_1,107,4,35-44,1,fairly_active,0.0543325210966746,6,7.365226558221833,1.0,True,5_to_below_10,9,1,0.0543325210966746,0,6,107,35-44__fairly_active,0.07571843941906126,0.07571843941906126,False,observed_year8,7.571843941906126,2.1385918322386654,0.00913231447339058,0.3668340414762494,35.770172700285876
borough_107__age_4__activity_2,107,4,35-44,2,active,0.204362523285887,6,40.245265637694686,0.3333333333333333,True,30_or_above,9,1,0.204362523285887,0,6,107,35-44__active,0.11662923400116093,0.11662923400116093,False,observed_year8,11.662923400116092,-8.773328928472607,0.07225479930639267,0.28561296612024256,21.33581668138499
borough_107__age_5__activity_0,107,5,45-54,0,inactive,0.0920503086312898,6,7.8746185558680235,0.8333333333333334,True,5_to_below_10,9,1,0.0920503086312898,0,6,107,45-54__inactive,0.07571843941906126,0.07571843941906126,False,observed_year8,7.571843941906126,-1.6331869212228538,0.00913231447339058,0.36646607518196106,35.73337607085705
