horizon,origins,observations,mae,rmse,r2,mean_error
1,4,2828,0.08186804303467651,0.13718393861282335,-0.006927817256072055,-0.027075224961950983
2,3,2133,0.0814297089997381,0.13134829390553396,0.029997736218914106,-0.017115079122284143
3,2,1429,0.08516220360356062,0.1343294836441036,0.025988276220158646,-0.022882242906993037
4,1,716,0.08716581566433824,0.14695298649228067,-0.04504604539312296,-0.04411053330435619
