year,median_interval_width_pp,q25_interval_width_pp,q75_interval_width_pp
9,36.84615247882901,25.01484486274421,44.634498357772756
10,37.30470836162567,25.322627760797314,44.33175645768642
11,37.133545875549316,25.25002245791256,44.55555081367493
12,37.38254010677338,25.326885785907503,44.45948414504527
13,37.376927956938744,25.333435437642017,44.4797023758292
14,37.6674273610115,25.49725251737982,44.54605646431443
