observations,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,fixed_parameters,weighting_scheme,training_rows,original_weight_mean,analysis_weight_mean,analysis_weight_min,analysis_weight_max
31585,0.00957781063583531,0.028233963205770304,0.825065150523952,5716,0.03462976021739536,25869,0.004042345646535482,7702,0.24384992876365363,0.010159090865915474,23883,0.009390354272226158,age_days10p60gr,Ridge Regression,{},weighted_n,188461,102.44720534128956,102.44720534128956,0.6306479008271091,454.0811518117701
31585,0.009613714974404643,0.02820993833900693,0.825362735266207,5716,0.034757684640987684,25869,0.0040579172777720435,7702,0.24384992876365363,0.01002811243663689,23883,0.00948007643426677,age_days10p60gr,Ridge Regression,{},sqrt_raw_n_rescaled,188461,102.44720534128956,102.44720534128955,14.207304358940188,225.53396480615808
